step,energy_ry
1,-8074.23788603
2,-8074.24147966
3,-8074.26373766
4,-8074.26435123
5,-8074.26506906
6,-8074.26610523
7,-8074.26708544
8,-8074.26780218
9,-8074.26858379
10,-8074.26917762
11,-8074.26942727
12,-8074.26965821
13,-8074.26988426
14,-8074.27023616
15,-8074.2707713
16,-8074.27153747
17,-8074.27232417
18,-8074.27294921
19,-8074.27413455
20,-8074.27515654
21,-8074.2772987
22,-8074.2785038
23,-8074.28235921
24,-8074.28650085
25,-8074.28972034
26,-8074.29057554
27,-8074.29293336
28,-8074.29440966
29,-8074.29531742
30,-8074.295682
31,-8074.29596535
32,-8074.29624616
33,-8074.29642754
34,-8074.2966433
35,-8074.2968617
36,-8074.29713599
37,-8074.29742627
38,-8074.29775828
39,-8074.29827346
40,-8074.29905221
41,-8074.30017274
42,-8074.30125102
43,-8074.3026281
44,-8074.30367986
45,-8074.30584118
46,-8074.30789419
47,-8074.31127575
48,-8074.31324849
49,-8074.31413472
50,-8074.31623452
51,-8074.3177224
52,-8074.31938581
53,-8074.32015406
54,-8074.32112192
55,-8074.32209766
56,-8074.32325599
57,-8074.32407303
58,-8074.32521368
59,-8074.3257759
60,-8074.32636547
61,-8074.32696983
62,-8074.32757292
63,-8074.32802073
64,-8074.32835641
65,-8074.32854443
66,-8074.32879088
67,-8074.32905383
68,-8074.32915502
69,-8074.32923954
70,-8074.32933402
71,-8074.32940975
72,-8074.32952486
73,-8074.32960317
74,-8074.32969394
75,-8074.32974502
76,-8074.32978388
77,-8074.3298197
78,-8074.32986402
79,-8074.32990493
80,-8074.32993488
81,-8074.32995394
82,-8074.32997969
83,-8074.33000287
84,-8074.33001919
