step,total_force_ry_bohr
1,0.245945
2,0.383813
3,0.030191
4,0.021689
5,0.017466
6,0.020385
7,0.026315
8,0.025327
9,0.018287
10,0.013076
11,0.01243
12,0.013576
13,0.016078
14,0.020705
15,0.028596
16,0.042483
17,0.068037
18,0.074535
19,0.0707
20,0.076128
21,0.079908
22,0.074374
23,0.07286
24,0.059482
25,0.095774
26,0.042001
27,0.037014
28,0.031831
29,0.019375
30,0.014014
31,0.010837
32,0.010544
33,0.011957
34,0.012666
35,0.012414
36,0.012138
37,0.0128
38,0.014678
39,0.018197
40,0.023661
41,0.03164
42,0.044097
43,0.040984
44,0.040301
45,0.036852
