step,conv_thr_ry
69,1e-08
44,1e-08
43,8.8e-09
31,7.3e-09
30,3.5e-09
31,1.9e-09
31,1.4e-09
33,1.6e-09
37,2.4e-09
40,3.2e-09
40,2.7e-09
32,4.4e-09
29,2.7e-09
31,3.2e-09
36,2.5e-09
35,3.2e-09
30,1.9e-09
37,2.1e-09
37,1.4e-09
36,7e-10
32,4e-10
36,5e-10
34,5e-10
35,4e-10
38,2e-10
37,3e-10
38,3e-10
36,2e-10
37,2e-10
37,2e-10
37,2e-10
37,1e-10
40,1e-10
37,2e-10
39,2e-10
40,4e-10
41,6e-10
42,8e-10
42,6e-10
40,1e-09
55,2e-09
33,1.6e-09
39,1.5e-09
38,1.5e-09
38,2.5e-09
37,1.7e-09
42,1.7e-09
47,1.6e-09
36,2.4e-09
37,3.5e-09
66,1.8e-09
38,1e-09
38,9e-10
38,8e-10
36,6e-10
36,6e-10
33,6e-10
32,4e-10
35,4e-10
37,4e-10
32,4e-10
57,3e-10
35,3e-10
36,2e-10
35,2e-10
32,1e-10
32,1e-10
32,1e-10
33,1e-10
37,1e-10
31,1e-10
35,1e-10
37,1e-10
33,1e-10
35,1e-10
37,1e-10
31,1e-10
31,1e-10
31,1e-10
31,1e-10
31,1e-10
31,1e-10
29,1e-10
30,1e-10
29,1e-10
30,1e-10
30,1e-10
31,1e-10
