step,energy_ry
1,-8074.52679022
2,-8074.42558474
3,-8074.61711188
4,-8074.62524543
5,-8074.62873955
6,-8074.63075796
7,-8074.63217426
8,-8074.63374073
9,-8074.63614193
10,-8074.63933333
11,-8074.64203579
12,-8074.64641377
13,-8074.64914249
14,-8074.65299263
15,-8074.65760769
16,-8074.660833
17,-8074.66270942
18,-8074.6649941
19,-8074.66635443
20,-8074.66705282
21,-8074.66748634
22,-8074.66797686
23,-8074.66843024
24,-8074.66881701
25,-8074.66906071
26,-8074.66935189
27,-8074.66970093
28,-8074.66991836
29,-8074.67011586
30,-8074.67030546
31,-8074.67047466
32,-8074.67059743
33,-8074.6707285
34,-8074.67088281
35,-8074.67112744
36,-8074.67149469
37,-8074.6720536
38,-8074.67288066
39,-8074.6734436
40,-8074.67443896
41,-8074.67640122
42,-8074.67833655
43,-8074.68117866
44,-8074.68578251
45,-8074.69168998
46,-8074.69336213
47,-8074.69037136
48,-8074.69499691
49,-8074.69803969
50,-8074.70154287
51,-8074.70331382
52,-8074.70613113
53,-8074.70809584
54,-8074.70911719
55,-8074.70989881
56,-8074.7105652
57,-8074.71116567
58,-8074.71161352
59,-8074.71205027
60,-8074.71248045
61,-8074.71288673
62,-8074.71322247
63,-8074.71350841
64,-8074.71374409
65,-8074.71392723
66,-8074.71405863
67,-8074.71417207
68,-8074.7142636
69,-8074.7143218
70,-8074.71437283
71,-8074.71443752
72,-8074.71451723
73,-8074.71460624
74,-8074.71467354
75,-8074.71474114
76,-8074.71481463
77,-8074.71487484
78,-8074.71492459
79,-8074.71496498
80,-8074.71499551
