step,scf_accuracy_ry
1,382.8648138
2,13174.6677263
3,126.32006296
4,46.42726682
5,15.5431678
6,11.91981123
7,78.64535967
8,81.92317906
9,171.7460146
10,104.36062569
11,10.36882455
12,50.31321011
13,37.45045168
14,3.33410152
15,6.87020066
16,1.63556265
17,0.18677991
18,0.56817643
19,0.42386203
20,0.01886539
21,0.02578106
22,0.04131963
23,0.00655153
24,0.00420764
25,0.00329355
26,0.00309357
27,0.00157716
28,0.0012374
29,0.00130272
30,0.00055653
31,0.00032046
32,0.0002654
33,0.00015151
34,0.00014623
35,8.814e-05
36,9.35e-05
37,4.666e-05
38,3.778e-05
39,1.562e-05
40,1.868e-05
41,9.79e-06
42,9.64e-06
43,6.72e-06
44,6.07e-06
45,3.77e-06
46,3.28e-06
47,2.23e-06
48,2.04e-06
49,1.9e-06
50,7e-07
51,7.6e-07
52,3.5e-07
53,3.2e-07
54,2.3e-07
55,2.7e-07
56,1.5e-07
57,1.3e-07
58,1.5e-07
59,1.2e-07
60,8e-08
61,7e-08
62,4e-08
63,6e-08
64,3e-08
65,2e-08
66,1e-08
67,1e-08
68,1e-08
69,6.4e-09
1,0.98695622
2,61.86487751
3,3.03076828
4,0.55695807
5,0.38293127
6,0.16019879
7,0.04587908
8,0.02677478
9,0.01842
10,0.03277674
11,0.02698417
12,0.00646363
13,0.00080081
14,0.00052647
15,0.00078845
16,0.00070555
17,0.00042491
18,0.00015642
19,0.00011183
20,9.492e-05
21,0.00016439
22,2.609e-05
23,1.405e-05
24,1.085e-05
25,6.74e-06
26,9.06e-06
27,3.48e-06
28,3.59e-06
29,1.43e-06
30,6.5e-07
31,4.5e-07
32,4.2e-07
33,3.1e-07
34,1.8e-07
35,1.5e-07
36,1.6e-07
37,7e-08
38,6e-08
39,5e-08
40,3e-08
41,2e-08
42,2e-08
43,1e-08
44,9.6e-09
1,1.91322655
2,30.98007045
3,14.34088753
4,0.69388063
5,0.23944684
6,0.04968915
7,0.0263611
8,0.01692763
9,0.01937067
10,0.0390553
11,0.0018777
12,0.00074027
13,0.00052155
14,0.00222637
15,0.00042298
16,0.00040199
17,0.0002411
18,0.00012005
19,6.834e-05
20,4.125e-05
21,0.00016634
22,1.143e-05
23,8.14e-06
24,8.58e-06
25,3.533e-05
26,3.51e-06
27,2.54e-06
28,1.32e-06
29,8e-07
30,4.4e-07
31,5.2e-07
32,5.5e-07
33,1.7e-07
34,1.1e-07
