step,total_force_ry_bohr
69,0.709468
44,1.692955
43,0.1171
31,0.081952
30,0.040811
31,0.027731
31,0.036599
33,0.043214
37,0.049396
40,0.059415
40,0.090767
32,0.066204
29,0.058792
31,0.050384
36,0.046686
35,0.052139
30,0.046357
37,0.039405
37,0.028631
36,0.019479
32,0.018136
36,0.014398
34,0.011757
35,0.014153
38,0.016178
37,0.015156
38,0.010953
36,0.010861
37,0.014349
37,0.015553
37,0.013179
37,0.010141
40,0.009426
37,0.011156
39,0.014384
40,0.018962
41,0.025821
42,0.037499
42,0.061172
40,0.052966
55,0.047297
33,0.045402
39,0.044704
38,0.041371
38,0.049335
37,0.074928
42,0.136058
47,0.052817
36,0.052318
37,0.059044
66,0.101676
38,0.027068
38,0.022093
38,0.019144
36,0.017874
36,0.016509
33,0.015179
32,0.014818
35,0.014823
37,0.014453
32,0.013369
57,0.012474
35,0.01084
36,0.009027
35,0.008441
32,0.008495
32,0.007338
32,0.007482
33,0.007304
37,0.006624
31,0.006388
35,0.005544
37,0.005493
33,0.005933
35,0.005903
37,0.005457
31,0.00518
31,0.004863
31,0.004992
31,0.003701
31,0.004575
31,0.003334
29,0.003377
30,0.003177
29,0.003259
30,0.003455
30,0.003526
31,0.003338
32,0.00296
