step,total_magnetization_bohr_cell
1,25.51
2,104.9
3,55.82
4,54.26
5,49.3
6,44.13
7,36.7
8,36.23
9,32.09
10,41.96
11,42.78
12,41.1
13,37.47
14,35.97
15,36.05
16,33.57
17,33.28
18,33.59
19,32.88
20,33.5
21,33.49
22,33.42
23,33.43
24,33.38
25,33.37
26,33.32
27,33.3
28,33.29
29,33.32
30,33.3
31,33.32
32,33.32
33,33.34
34,33.34
35,33.33
36,33.33
37,33.32
38,33.32
39,33.31
40,33.31
41,33.31
42,33.3
43,33.3
44,33.3
45,33.29
46,33.29
47,33.29
48,33.28
49,33.28
50,33.28
51,33.28
52,33.28
53,33.28
54,33.28
55,33.28
56,33.27
57,33.27
58,33.27
59,33.27
60,33.27
61,33.27
62,33.27
63,33.27
64,33.27
65,33.27
66,33.27
67,33.27
68,33.27
69,33.27
1,34.0
2,25.47
3,33.32
4,33.54
5,33.01
6,32.9
7,33.24
8,33.32
9,33.25
10,33.34
11,33.1
12,33.17
13,33.2
14,33.21
15,33.2
16,33.22
17,33.22
18,33.21
19,33.22
20,33.22
21,33.2
22,33.21
23,33.21
24,33.21
25,33.21
26,33.21
27,33.21
28,33.21
29,33.21
30,33.21
31,33.21
32,33.21
33,33.21
34,33.21
35,33.21
36,33.21
37,33.21
38,33.21
39,33.21
40,33.21
41,33.21
42,33.21
43,33.21
44,33.21
1,32.54
2,39.45
3,34.06
4,33.35
5,33.24
6,33.11
7,33.24
8,33.29
9,33.08
10,33.46
11,33.22
12,33.24
13,33.24
14,33.23
15,33.23
16,33.24
17,33.24
18,33.24
19,33.23
20,33.23
21,33.25
22,33.24
23,33.24
24,33.24
25,33.24
26,33.24
27,33.24
28,33.24
29,33.24
30,33.24
31,33.24
32,33.23
33,33.24
34,33.24
35,33.24
36,33.24
37,33.24
38,33.24
39,33.24
40,33.24
41,33.24
42,33.24
43,33.24
1,33.21
2,33.27
3,33.15
4,33.11
5,33.21
6,33.22
7,33.22
8,33.22
9,33.21
10,33.22
11,33.22
12,33.22
13,33.22
14,33.22
15,33.22
16,33.22
17,33.22
18,33.22
19,33.22
20,33.22
21,33.22
22,33.22
23,33.22
24,33.22
25,33.22
26,33.22
27,33.22
28,33.22
29,33.22
30,33.22
31,33.22
1,33.28
2,32.78
3,33.17
4,33.22
5,33.21
6,33.21
7,33.21
8,33.21
9,33.21
10,33.21
11,33.21
12,33.21
13,33.22
14,33.21
15,33.21
16,33.21
17,33.21
18,33.21
19,33.21
20,33.21
21,33.21
22,33.21
23,33.21
24,33.21
25,33.21
26,33.21
27,33.21
28,33.21
29,33.21
30,33.21
1,33.28
2,32.82
3,33.18
4,33.22
5,33.22
6,33.22
7,33.22
8,33.22
9,33.22
10,33.22
11,33.22
12,33.22
13,33.22
14,33.22
15,33.22
16,33.22
17,33.22
18,33.22
19,33.22
20,33.22
21,33.22
22,33.22
23,33.22
24,33.22
25,33.22
26,33.22
27,33.22
28,33.22
29,33.22
30,33.22
31,33.22
1,33.25
2,33.01
3,33.22
4,33.22
5,33.22
6,33.22
7,33.22
8,33.22
9,33.23
10,33.22
11,33.22
12,33.23
13,33.22
14,33.22
15,33.22
16,33.22
17,33.22
18,33.22
19,33.22
20,33.22
21,33.22
22,33.22
23,33.22
24,33.22
25,33.22
26,33.22
27,33.22
28,33.22
29,33.22
30,33.22
31,33.22
1,33.25
2,33.09
3,33.22
4,33.23
5,33.23
6,33.23
7,33.23
8,33.23
9,33.23
10,33.23
11,33.23
12,33.23
13,33.23
14,33.23
15,33.23
16,33.23
17,33.23
18,33.23
19,33.23
20,33.23
21,33.23
22,33.23
23,33.23
24,33.23
25,33.23
26,33.23
27,33.23
28,33.23
29,33.23
30,33.23
31,33.23
32,33.23
33,33.23
1,33.25
2,33.12
3,33.24
4,33.24
5,33.24
6,33.24
7,33.24
8,33.23
9,33.24
10,33.24
11,33.24
12,33.24
13,33.23
14,33.24
15,33.24
16,33.24
17,33.24
18,33.24
19,33.24
20,33.24
21,33.24
22,33.24
23,33.24
24,33.24
25,33.24
26,33.24
27,33.24
28,33.24
29,33.24
30,33.24
31,33.24
32,33.24
33,33.24
34,33.24
35,33.24
36,33.24
37,33.24
1,33.26
2,33.18
3,33.26
4,33.29
5,33.25
6,33.24
7,33.25
8,33.25
9,33.25
10,33.25
11,33.25
12,33.25
13,33.24
14,33.24
15,33.25
16,33.25
17,33.25
18,33.25
19,33.25
20,33.25
21,33.25
22,33.25
23,33.25
24,33.25
25,33.25
26,33.25
27,33.25
28,33.25
29,33.25
30,33.25
31,33.25
32,33.25
33,33.25
34,33.25
35,33.25
36,33.25
37,33.25
38,33.25
39,33.25
40,33.25
1,33.25
2,33.47
3,33.26
4,33.22
5,33.26
6,33.26
7,33.27
8,33.28
9,33.27
10,33.27
11,33.27
12,33.28
13,33.26
14,33.28
15,33.28
16,33.27
17,33.27
18,33.27
19,33.27
20,33.27
21,33.27
22,33.27
23,33.27
24,33.28
25,33.27
26,33.27
27,33.27
28,33.27
29,33.27
30,33.27
31,33.27
32,33.27
33,33.27
34,33.27
35,33.27
36,33.27
37,33.27
38,33.27
39,33.27
40,33.27
1,33.25
2,33.42
3,33.3
4,33.27
5,33.28
6,33.28
7,33.28
8,33.28
9,33.28
10,33.28
11,33.28
12,33.28
13,33.28
14,33.28
15,33.28
16,33.28
17,33.28
18,33.28
19,33.28
20,33.28
21,33.28
22,33.28
23,33.28
24,33.28
25,33.28
26,33.28
27,33.28
28,33.28
29,33.28
30,33.28
31,33.28
32,33.28
1,33.26
2,33.49
3,33.31
4,33.29
5,33.29
6,33.29
7,33.29
8,33.29
9,33.29
10,33.29
11,33.29
12,33.29
13,33.29
14,33.29
15,33.29
16,33.29
17,33.29
18,33.29
19,33.29
20,33.29
21,33.29
22,33.29
23,33.29
24,33.29
25,33.29
26,33.29
27,33.29
28,33.29
29,33.29
1,33.25
2,33.65
3,33.35
4,33.3
5,33.3
6,33.3
7,33.3
8,33.31
9,33.3
10,33.31
11,33.31
12,33.3
13,33.31
14,33.31
15,33.31
16,33.31
17,33.31
18,33.31
19,33.31
20,33.31
21,33.31
22,33.31
23,33.31
24,33.31
25,33.31
26,33.31
27,33.31
28,33.31
29,33.31
30,33.31
31,33.31
1,33.23
2,33.92
3,33.39
4,33.32
5,33.33
6,33.33
7,33.33
8,33.33
9,33.33
10,33.33
11,33.33
12,33.32
13,33.33
14,33.33
15,33.33
16,33.33
17,33.33
18,33.33
19,33.33
20,33.33
21,33.33
22,33.33
23,33.33
24,33.33
25,33.33
26,33.33
27,33.33
28,33.33
29,33.33
30,33.33
31,33.33
32,33.33
33,33.33
34,33.33
35,33.33
36,33.33
1,33.27
2,33.89
3,33.4
4,33.35
5,33.35
6,33.35
7,33.35
8,33.36
9,33.35
10,33.36
11,33.36
12,33.35
13,33.36
14,33.36
15,33.36
16,33.36
17,33.36
18,33.36
19,33.36
20,33.36
21,33.36
22,33.36
23,33.36
24,33.36
25,33.36
26,33.36
27,33.36
28,33.36
29,33.36
30,33.36
31,33.36
32,33.36
33,33.36
34,33.36
35,33.36
1,33.36
2,33.43
3,33.36
4,33.38
5,33.36
6,33.37
7,33.37
8,33.37
9,33.37
10,33.37
11,33.37
12,33.37
13,33.37
14,33.37
15,33.37
16,33.37
17,33.37
18,33.37
19,33.37
20,33.37
21,33.37
22,33.37
23,33.37
24,33.37
25,33.37
26,33.37
27,33.37
28,33.37
29,33.37
30,33.37
1,33.43
2,33.07
3,33.34
4,33.38
5,33.38
6,33.37
7,33.37
8,33.37
9,33.37
10,33.37
11,33.37
12,33.37
13,33.37
14,33.37
15,33.37
16,33.37
17,33.37
18,33.37
19,33.37
20,33.37
21,33.37
22,33.37
23,33.37
24,33.37
25,33.37
26,33.37
27,33.37
28,33.37
29,33.37
30,33.37
31,33.37
32,33.37
33,33.37
34,33.37
35,33.37
36,33.37
37,33.37
1,33.44
2,33.1
3,33.34
4,33.4
5,33.39
6,33.38
7,33.38
8,33.38
9,33.37
10,33.38
11,33.38
12,33.37
13,33.38
14,33.38
15,33.38
16,33.38
17,33.38
18,33.38
19,33.38
20,33.38
21,33.38
22,33.38
23,33.38
24,33.38
25,33.38
26,33.38
27,33.38
28,33.38
29,33.38
30,33.38
31,33.38
32,33.38
33,33.38
34,33.38
35,33.38
36,33.38
37,33.38
1,33.42
2,33.1
3,33.34
4,33.38
5,33.37
6,33.37
7,33.37
8,33.37
9,33.37
10,33.37
11,33.37
12,33.37
13,33.36
14,33.37
15,33.37
16,33.37
17,33.37
18,33.37
19,33.37
20,33.37
21,33.37
22,33.37
23,33.37
24,33.37
25,33.37
26,33.37
27,33.37
28,33.37
29,33.37
30,33.37
31,33.37
32,33.37
33,33.37
34,33.37
35,33.37
36,33.37
1,33.39
2,33.24
3,33.34
4,33.37
5,33.37
6,33.37
7,33.37
8,33.36
9,33.36
10,33.36
11,33.36
12,33.37
13,33.36
14,33.36
15,33.36
16,33.36
17,33.36
18,33.36
19,33.36
20,33.36
21,33.36
22,33.36
23,33.36
24,33.36
25,33.36
26,33.36
27,33.36
28,33.36
29,33.36
30,33.36
31,33.36
32,33.36
1,33.38
2,33.24
3,33.34
4,33.36
5,33.36
6,33.36
7,33.36
8,33.36
9,33.36
10,33.36
11,33.36
12,33.36
13,33.36
14,33.36
15,33.36
16,33.36
17,33.36
18,33.36
19,33.36
20,33.36
21,33.36
22,33.36
23,33.36
24,33.36
25,33.36
26,33.36
27,33.36
28,33.36
29,33.36
30,33.36
31,33.36
32,33.36
33,33.36
34,33.36
35,33.36
36,33.36
1,33.38
2,33.24
3,33.34
4,33.36
5,33.36
6,33.36
7,33.35
8,33.35
9,33.35
10,33.35
11,33.35
12,33.35
13,33.35
14,33.35
15,33.35
16,33.35
17,33.35
18,33.35
19,33.35
20,33.35
21,33.35
22,33.35
23,33.35
24,33.35
25,33.35
26,33.35
27,33.35
28,33.35
29,33.35
30,33.35
31,33.35
32,33.35
33,33.35
34,33.35
1,33.38
2,33.22
3,33.32
4,33.36
5,33.35
6,33.35
7,33.35
8,33.35
9,33.35
10,33.35
11,33.35
12,33.34
13,33.35
14,33.35
15,33.35
16,33.35
17,33.35
18,33.35
19,33.35
20,33.35
21,33.35
22,33.35
23,33.35
24,33.35
25,33.35
26,33.35
27,33.35
28,33.35
29,33.35
30,33.35
31,33.35
32,33.35
33,33.35
34,33.35
35,33.35
1,33.36
2,33.28
3,33.33
4,33.35
5,33.35
6,33.34
7,33.34
8,33.34
9,33.34
10,33.34
11,33.34
12,33.34
13,33.34
14,33.34
15,33.34
16,33.34
17,33.34
18,33.34
19,33.34
20,33.34
21,33.34
22,33.34
23,33.34
24,33.34
25,33.34
26,33.34
27,33.34
28,33.34
29,33.34
30,33.34
31,33.34
32,33.34
33,33.34
34,33.34
35,33.34
36,33.34
37,33.34
38,33.34
1,33.35
2,33.29
3,33.33
4,33.35
5,33.35
6,33.34
7,33.34
8,33.34
9,33.34
10,33.34
11,33.34
12,33.34
13,33.34
14,33.34
15,33.34
16,33.34
17,33.34
18,33.34
19,33.34
20,33.34
21,33.34
22,33.34
23,33.34
24,33.34
25,33.34
26,33.34
27,33.34
28,33.34
29,33.34
30,33.34
31,33.34
32,33.34
33,33.34
34,33.34
35,33.34
36,33.34
37,33.34
1,33.35
2,33.28
3,33.33
4,33.35
5,33.34
6,33.34
7,33.34
8,33.34
9,33.34
10,33.34
11,33.34
12,33.34
13,33.34
14,33.34
15,33.34
16,33.34
17,33.34
18,33.34
19,33.34
20,33.34
21,33.34
22,33.34
23,33.34
24,33.34
25,33.34
26,33.34
27,33.34
28,33.34
29,33.34
30,33.34
31,33.34
32,33.34
33,33.34
34,33.34
35,33.34
36,33.34
37,33.34
38,33.34
1,33.35
2,33.31
3,33.34
4,33.35
5,33.34
6,33.34
7,33.34
8,33.34
9,33.34
10,33.34
11,33.34
12,33.34
13,33.34
14,33.34
15,33.34
16,33.34
17,33.34
18,33.34
19,33.34
20,33.34
21,33.34
22,33.34
23,33.34
24,33.34
25,33.34
26,33.34
27,33.34
28,33.34
29,33.34
30,33.34
31,33.34
32,33.34
33,33.34
34,33.34
35,33.34
36,33.34
1,33.35
2,33.32
3,33.35
4,33.35
5,33.35
6,33.34
7,33.34
8,33.34
9,33.34
10,33.34
11,33.34
12,33.35
13,33.34
14,33.34
15,33.34
16,33.34
17,33.34
18,33.34
19,33.34
20,33.34
21,33.34
22,33.34
23,33.34
24,33.34
25,33.34
26,33.34
27,33.34
28,33.34
29,33.34
30,33.34
31,33.34
32,33.34
33,33.34
34,33.34
35,33.34
36,33.34
37,33.34
1,33.35
2,33.33
3,33.36
4,33.36
5,33.35
6,33.35
7,33.35
8,33.35
9,33.35
10,33.35
11,33.35
12,33.35
13,33.35
14,33.35
15,33.35
16,33.35
17,33.35
18,33.35
19,33.35
20,33.35
21,33.35
22,33.35
23,33.35
24,33.35
25,33.35
26,33.35
27,33.35
28,33.35
29,33.35
30,33.35
31,33.35
32,33.35
33,33.35
34,33.35
35,33.35
36,33.35
37,33.35
1,33.36
2,33.34
3,33.36
4,33.37
5,33.35
6,33.35
7,33.35
8,33.35
9,33.35
10,33.35
11,33.35
12,33.35
13,33.35
14,33.35
15,33.35
16,33.35
17,33.35
18,33.35
19,33.35
20,33.35
21,33.35
22,33.35
23,33.35
24,33.35
25,33.35
26,33.35
27,33.35
28,33.35
29,33.35
30,33.35
31,33.35
32,33.35
33,33.35
34,33.35
35,33.35
36,33.35
37,33.35
1,33.35
2,33.36
3,33.35
4,33.32
5,33.35
6,33.35
7,33.35
8,33.35
9,33.35
10,33.35
11,33.35
12,33.35
13,33.35
14,33.35
15,33.35
16,33.35
17,33.35
18,33.35
19,33.35
20,33.35
21,33.35
22,33.35
23,33.35
24,33.35
25,33.35
26,33.35
27,33.35
28,33.35
29,33.35
30,33.35
31,33.35
32,33.35
33,33.35
34,33.35
35,33.35
36,33.35
37,33.35
1,33.35
2,33.37
3,33.34
4,33.35
5,33.35
6,33.35
7,33.35
8,33.35
9,33.35
10,33.35
11,33.35
12,33.35
13,33.35
14,33.35
15,33.35
16,33.35
17,33.35
18,33.35
19,33.35
20,33.35
21,33.35
22,33.35
23,33.35
24,33.35
25,33.35
26,33.35
27,33.35
28,33.35
29,33.35
30,33.35
31,33.35
32,33.35
33,33.35
34,33.35
35,33.35
36,33.35
37,33.35
38,33.35
39,33.35
40,33.35
1,33.34
2,33.39
3,33.35
4,33.34
5,33.34
6,33.34
7,33.34
8,33.35
9,33.34
10,33.34
11,33.34
12,33.34
13,33.35
14,33.35
15,33.34
16,33.34
17,33.34
18,33.34
19,33.34
20,33.34
21,33.34
22,33.34
23,33.34
24,33.34
25,33.34
26,33.34
27,33.34
28,33.34
29,33.34
30,33.34
31,33.34
32,33.34
33,33.34
34,33.34
35,33.34
36,33.34
37,33.34
1,33.32
2,33.42
3,33.34
4,33.33
5,33.34
6,33.34
7,33.34
8,33.34
9,33.34
10,33.34
11,33.34
12,33.34
13,33.33
14,33.34
15,33.34
16,33.34
17,33.34
18,33.34
19,33.34
20,33.34
21,33.34
22,33.34
23,33.34
24,33.34
25,33.34
26,33.34
27,33.34
28,33.34
29,33.34
30,33.34
31,33.34
32,33.34
33,33.34
34,33.34
35,33.34
36,33.34
37,33.34
38,33.34
39,33.34
1,33.3
2,33.49
3,33.34
4,33.32
5,33.33
6,33.33
7,33.33
8,33.33
9,33.33
10,33.33
11,33.33
12,33.33
13,33.34
14,33.33
15,33.32
16,33.33
17,33.33
18,33.33
19,33.33
20,33.33
21,33.33
22,33.33
23,33.33
24,33.33
25,33.33
26,33.33
27,33.33
28,33.33
29,33.33
30,33.33
31,33.33
32,33.33
33,33.33
34,33.33
35,33.33
36,33.33
37,33.33
38,33.33
39,33.33
40,33.33
1,33.27
2,33.59
3,33.35
4,33.31
5,33.31
6,33.32
7,33.32
8,33.32
9,33.31
10,33.31
11,33.32
12,33.31
13,33.32
14,33.33
15,33.32
16,33.31
17,33.32
18,33.32
19,33.32
20,33.32
21,33.32
22,33.32
23,33.32
24,33.32
25,33.32
26,33.32
27,33.32
28,33.32
29,33.32
30,33.32
31,33.32
32,33.32
33,33.32
34,33.32
35,33.32
36,33.32
37,33.32
38,33.32
39,33.32
40,33.32
41,33.32
1,33.23
2,33.78
3,33.36
4,33.3
5,33.31
6,33.31
7,33.31
8,33.32
9,33.3
10,33.3
11,33.3
12,33.29
13,33.31
14,33.31
15,33.31
16,33.31
17,33.31
18,33.31
19,33.31
20,33.31
21,33.31
22,33.3
23,33.31
24,33.31
25,33.31
26,33.31
27,33.31
28,33.31
29,33.31
30,33.31
31,33.31
32,33.31
33,33.31
34,33.31
35,33.3
36,33.31
37,33.31
38,33.31
39,33.31
40,33.3
41,33.3
42,33.3
1,33.15
2,34.14
3,33.41
4,33.3
5,33.3
6,33.3
7,33.31
8,33.32
9,33.28
10,33.29
11,33.3
12,33.28
13,33.31
14,33.31
15,33.3
16,33.3
17,33.3
18,33.3
19,33.3
20,33.3
21,33.3
22,33.3
23,33.3
24,33.3
25,33.3
26,33.3
27,33.3
28,33.3
29,33.3
30,33.3
31,33.3
32,33.3
33,33.3
34,33.3
35,33.3
36,33.3
37,33.3
38,33.3
39,33.3
40,33.3
41,33.3
42,33.3
1,33.32
2,33.08
3,33.27
4,33.3
5,33.3
6,33.29
7,33.29
8,33.29
9,33.29
10,33.29
11,33.29
12,33.29
13,33.28
14,33.29
15,33.29
16,33.29
17,33.29
18,33.29
19,33.29
20,33.29
21,33.29
22,33.29
23,33.29
24,33.29
25,33.29
26,33.29
27,33.29
28,33.29
29,33.29
30,33.29
31,33.29
32,33.29
33,33.29
34,33.29
35,33.29
36,33.29
37,33.29
38,33.29
39,33.29
40,33.29
1,33.25
2,33.49
3,33.32
4,33.29
5,33.29
6,33.28
7,33.28
8,33.29
9,33.29
10,33.28
11,33.28
12,33.29
13,33.28
14,33.28
15,33.28
16,33.28
17,33.28
18,33.28
19,33.28
20,33.28
21,33.28
22,33.28
