step,energy_ry
1,-6579.18529656
2,-6579.38497635
3,-6579.5541564
4,-6579.62749377
5,-6579.67754843
6,-6579.71020943
7,-6579.72399642
8,-6579.73205491
9,-6579.73964016
10,-6579.74352859
11,-6579.74790187
12,-6579.75171924
13,-6579.75603082
14,-6579.76213579
15,-6579.76920487
16,-6579.77283963
17,-6579.77612969
18,-6579.77811895
19,-6579.77945688
20,-6579.78141453
21,-6579.78337935
22,-6579.78481769
23,-6579.78641113
24,-6579.78766992
25,-6579.78878734
26,-6579.78975406
27,-6579.79088199
28,-6579.79097652
29,-6579.79234488
30,-6579.79303226
31,-6579.79361931
