step,energy_ry
1,-6579.68193219
2,-6580.07306754
3,-6580.34443215
4,-6580.52265998
5,-6580.57409505
6,-6580.64165417
7,-6580.6796789
8,-6580.71437041
9,-6580.7423411
10,-6580.76709972
11,-6580.78435163
12,-6580.79913264
13,-6580.81436976
14,-6580.83254941
15,-6580.84885989
16,-6580.86188747
17,-6580.88381425
18,-6580.89262146
19,-6580.90002835
20,-6580.90628485
21,-6580.91037676
22,-6580.91394621
23,-6580.91989295
24,-6580.92668768
25,-6580.93219319
26,-6580.93687952
27,-6580.94158812
28,-6580.94518773
29,-6580.94794813
30,-6580.95021628
31,-6580.9523133
32,-6580.95432119
33,-6580.95603025
