step,gradient_error_ry_bohr
1,0.39
2,0.2
3,0.12
4,0.083
5,0.065
6,0.063
7,0.055
8,0.03
9,0.031
10,0.02
11,0.016
12,0.018
13,0.021
14,0.024
15,0.023
16,0.018
17,0.012
18,0.018
19,0.021
20,0.015
21,0.0085
22,0.011
23,0.014
24,0.012
25,0.0088
26,0.011
27,0.0098
28,0.021
29,0.0098
30,0.0093
31,0.011
32,0.0094
33,0.0098
34,0.0093
35,0.0076
36,0.0088
37,0.0093
38,0.019
39,0.0068
40,0.0049
41,0.0045
42,0.006
43,0.007
44,0.0069
45,0.0049
46,0.0069
47,0.013
48,0.0054
49,0.0031
50,0.0054
51,0.0039
52,0.0021
53,0.0031
54,0.0038
55,0.0034
56,0.0025
57,0.0017
58,0.0025
59,0.0028
60,0.0023
61,0.0018
62,0.0014
63,0.0011
64,0.0012
65,0.001
66,0.00092
