step,total_force_ry_bohr
1,0.53482
2,0.342934
3,0.282014
4,0.205988
5,0.156031
6,0.133094
7,0.116396
8,0.065916
9,0.068538
10,0.052542
11,0.046366
12,0.049338
13,0.054898
14,0.058874
15,0.062258
16,0.045328
17,0.039672
18,0.04926
19,0.063781
20,0.040017
21,0.025036
22,0.030009
23,0.034601
24,0.029309
25,0.024907
26,0.027642
27,0.028297
28,0.057784
29,0.023841
30,0.025385
31,0.024413
32,0.022374
33,0.022835
34,0.027701
35,0.023761
36,0.023757
37,0.019924
38,0.038388
39,0.021776
40,0.018052
41,0.016311
42,0.018471
43,0.020316
44,0.01885
45,0.013328
46,0.015899
47,0.024717
48,0.014298
49,0.008874
50,0.010143
51,0.007534
52,0.006068
53,0.007635
54,0.00834
55,0.007249
56,0.005729
57,0.005352
58,0.006288
59,0.006614
60,0.005956
61,0.004692
62,0.003911
63,0.003691
64,0.003675
65,0.00348
66,0.003485
