step,energy_ry
1,-7384.72432732
2,-7384.73076308
3,-7384.73549257
4,-7384.73813934
5,-7384.74118529
6,-7384.74304769
7,-7384.74425994
8,-7384.74509637
9,-7384.74568749
10,-7384.74615134
11,-7384.74665274
12,-7384.74712755
13,-7384.74772635
14,-7384.74839211
15,-7384.74889056
16,-7384.74943564
17,-7384.74989352
18,-7384.75031334
19,-7384.75074939
20,-7384.75118915
21,-7384.75156442
22,-7384.75186836
23,-7384.75214557
24,-7384.75242687
25,-7384.75269498
26,-7384.75290204
27,-7384.75304111
28,-7384.75313467
29,-7384.75320164
30,-7384.75325481
31,-7384.75329923
32,-7384.75333553
33,-7384.75336408
34,-7384.75339283
35,-7384.75342592
36,-7384.75346501
37,-7384.75350194
38,-7384.75353408
39,-7384.75356571
40,-7384.75360291
41,-7384.75364555
42,-7384.75368748
43,-7384.7537251
44,-7384.7537561
45,-7384.7537816
46,-7384.75380065
