step,scf_accuracy_ry
1,55.36708721
2,489.46584733
3,53.61939584
4,108.20073612
5,28.24764581
6,37.10734578
7,83.13335762
8,13.32955125
9,6.20438502
10,47.70629538
11,2.59434718
12,1.36795497
13,1.70033523
14,11.52103659
15,1.04474903
16,0.34634912
17,0.92127614
18,0.16836394
19,0.11070475
20,1.0735286
21,0.08007095
22,0.01849817
23,0.01615482
24,0.05429469
25,0.10279477
26,0.00940083
27,0.01195253
28,0.00517573
29,0.0025113
30,0.00604785
31,0.00273155
32,0.00176275
33,0.001046
34,0.00199129
35,0.03853209
36,0.00161448
37,0.00062651
38,0.00056694
39,0.00025653
40,0.00027315
41,0.00066775
42,0.00014046
43,0.00015221
44,0.00016619
45,0.00291313
46,0.00058266
47,7.357e-05
48,6.544e-05
49,4.629e-05
50,4.364e-05
51,0.0001765
52,4.686e-05
53,2.98e-05
54,2.927e-05
55,0.00018952
56,0.00017044
57,7.53e-06
58,1.082e-05
59,7.08e-06
60,6.28e-06
61,8.26e-06
62,8.62e-06
63,1.49e-06
64,1.86e-06
65,4.18e-06
66,3.82e-06
67,1.73e-06
68,1.07e-06
69,2.57e-06
70,6.2e-07
71,5.4e-07
72,1.52e-06
73,2.5e-07
74,2.2e-07
75,2.44e-06
76,3.2e-07
77,8e-08
78,5e-08
79,6e-08
80,4e-08
81,2e-08
82,2e-08
83,2e-08
84,2e-08
85,2e-08
86,3e-08
87,4e-08
88,9.9e-09
1,0.00523853
2,2.45341767
3,0.02277094
4,0.01246894
5,0.00223703
6,0.00100361
7,0.00094444
8,0.00042181
9,0.00022353
10,0.00016497
11,0.00014117
12,8.09e-05
13,0.00301314
14,0.00015699
15,0.00089333
16,1.878e-05
17,1.171e-05
18,2.666e-05
19,8.13e-06
20,6.85e-06
21,5.18e-06
22,3.61e-06
23,3.776e-05
24,6.9e-06
25,9.06e-06
26,1.95e-06
27,1.45e-06
28,1.66e-06
29,1.84e-06
30,7.8e-07
31,4e-07
32,2.3e-07
33,5e-07
34,1.4e-07
35,6e-08
36,2.2e-07
37,5e-08
38,4e-08
39,4e-08
40,2e-08
41,3e-08
42,2e-08
43,2.2e-07
44,6e-08
45,1e-08
46,1.7e-07
47,9.7e-09
1,0.0164121
2,7.40407686
3,0.10282641
4,0.05924405
5,0.0080148
6,0.00155009
7,0.00129368
8,0.00082491
9,0.0003168
10,0.00021394
11,0.00017309
12,0.00118142
13,0.0007251
14,0.00050462
15,0.00021144
16,0.0001518
17,7.434e-05
18,2.997e-05
19,1.775e-05
20,1.224e-05
21,8.02e-06
22,1.079e-05
23,9.296e-05
24,6.58e-06
25,2.024e-05
26,8.79e-06
27,3.59e-06
28,2.13e-06
29,1.1e-06
30,8.9e-07
31,5e-07
32,3.8e-07
33,1.618e-05
34,4.7e-07
35,3.13e-06
36,5e-07
37,2.1e-07
38,1.6e-07
39,1.6e-07
40,1e-07
41,6e-08
42,4e-08
43,4.64e-06
44,4e-08
45,2e-08
46,4e-08
47,2e-08
48,5e-08
49,1e-08
50,8.1e-09
51,7.5e-09
52,3.9e-09
53,5e-08
54,6e-09
55,2.1e-09
1,0.0145301
2,5.41825713
3,0.20442651
4,0.04688057
5,0.0060876
6,0.00115551
7,0.00087588
8,0.00060732
9,0.00029376
10,0.00019417
11,0.00014876
12,0.00031696
13,0.00136832
14,0.00041802
15,0.00017884
16,0.00015992
17,5.524e-05
18,2.481e-05
19,1.714e-05
20,1.038e-05
21,5.84e-06
22,5.54e-06
23,6.086e-05
24,7.74e-06
25,1.368e-05
26,6.91e-06
27,2.71e-06
28,1.8e-06
29,1.23e-06
30,1.03e-06
31,5.2e-07
32,4.2e-07
33,2.76e-06
34,3.6e-07
35,9.4e-07
36,3.8e-07
37,2.5e-07
38,1.7e-07
39,1.6e-07
40,1.1e-07
41,6e-08
42,3e-08
43,1.1e-07
44,6e-08
45,8e-08
46,3e-08
47,2e-08
48,1e-08
49,2e-08
50,1e-08
51,6.7e-09
52,3.1e-09
53,5.2e-09
54,2e-08
55,1.5e-09
1,0.02561746
2,7.76261248
3,0.49742241
4,0.09237597
5,0.01101162
6,0.00227943
7,0.00170822
8,0.00131054
9,0.00055444
10,0.00031381
11,0.00024823
12,0.00018711
13,0.02677615
14,0.00029023
15,0.00018184
16,7.198e-05
17,7.481e-05
18,3.068e-05
19,3.484e-05
20,1.978e-05
21,1.141e-05
22,6.45e-06
23,6.57e-06
24,0.00015954
25,5.6e-06
26,1.129e-05
27,2.047e-05
28,2.58e-06
29,1e-06
30,9.3e-07
31,6.2e-07
32,4.7e-07
33,3.5e-07
34,2.65e-06
35,2.42e-06
36,2.2e-07
37,1.49e-06
38,1.7e-07
39,1.9e-07
40,8e-08
41,7e-08
42,7e-08
43,4e-08
44,4e-08
45,6.5e-07
46,6e-08
47,2e-08
48,6e-08
49,1e-08
50,5.6e-09
51,6.7e-09
52,3e-09
53,3.2e-09
54,2.5e-09
55,4.1e-09
56,6e-08
57,1.2e-09
1,0.00924025
2,1.77636104
3,0.32538067
4,0.03369543
5,0.00411142
6,0.00118198
7,0.00087872
8,0.00065101
9,0.00037132
10,0.00021962
11,0.0001171
12,0.00029611
13,0.00116338
14,0.00048641
15,0.00012911
16,8.422e-05
17,5.062e-05
18,2.489e-05
19,1.222e-05
20,1.057e-05
21,7.68e-06
22,5.07e-06
23,0.00011786
24,1.064e-05
25,1.442e-05
26,5.43e-06
27,2.51e-06
28,1.35e-06
29,1.26e-06
30,1.06e-06
31,5.8e-07
32,4e-07
33,3.3e-07
34,4.48e-06
35,1.62e-06
36,2.5e-07
37,2.6e-07
38,1e-07
39,7e-08
40,7e-08
41,6e-08
42,4e-08
43,3e-08
44,8e-08
45,2.7e-07
46,4e-08
47,9e-08
48,2e-08
49,1e-08
50,6.2e-09
51,5.2e-09
52,4.5e-09
53,3.7e-09
54,4.1e-09
55,9e-08
56,6.5e-09
57,4.6e-09
58,1.8e-09
59,9.6e-10
1,0.00745385
2,2.49092633
3,0.21688125
4,0.01446961
5,0.00149282
6,0.0005797
7,0.0004626
8,0.00034178
9,0.00019728
10,0.00011276
11,5.601e-05
12,0.00029683
13,0.00030357
14,0.00012388
15,6.593e-05
16,3.863e-05
17,2.71e-05
18,1.361e-05
19,6.42e-06
20,5.63e-06
21,4.38e-06
22,4.54e-06
23,0.00014541
24,1.927e-05
25,5.75e-06
26,5.23e-06
27,8.5e-07
28,3.4e-07
29,2.8e-07
30,2.7e-07
31,1.5e-07
32,1.2e-07
33,1.82e-06
34,3.6e-07
35,4.2e-07
36,1.3e-07
37,1.2e-07
38,5e-08
39,3e-08
40,3e-08
41,2e-08
42,2e-08
43,5e-08
44,1.1e-07
45,1.4e-07
46,1e-08
47,2e-08
48,6.8e-09
49,6.1e-09
50,5.1e-09
51,3.6e-09
52,3.1e-09
53,7.7e-09
54,4e-08
55,3e-08
56,2.1e-09
57,2.7e-09
58,1.2e-09
59,9e-10
1,0.00550034
2,1.55532518
3,0.24307315
4,0.00868373
5,0.00074907
6,0.00040896
7,0.00033224
8,0.00022806
9,0.00013463
10,8.207e-05
11,4.252e-05
12,0.00017849
13,0.00036088
14,0.00011405
15,4.926e-05
16,2.784e-05
17,1.461e-05
18,1.276e-05
19,6.78e-06
20,5.42e-06
21,2.48e-06
22,2.18e-06
23,2.089e-05
24,4.13e-06
25,2.18e-06
26,1.88e-06
27,7.5e-07
28,4.3e-07
29,2.9e-07
30,2.1e-07
31,1.4e-07
32,1.1e-07
33,1.1e-07
34,3.75e-06
35,7.5e-07
36,1.6e-07
37,9e-08
38,4e-08
39,3e-08
40,2e-08
41,2e-08
42,1e-08
43,1e-08
44,1e-08
45,2.2e-07
46,8.5e-09
47,2e-08
48,1e-08
49,6.4e-09
50,4.1e-09
51,3.7e-09
52,3.5e-09
53,3.2e-09
54,2.2e-09
55,2e-08
56,3e-09
57,1.9e-09
58,2e-08
59,1.2e-09
60,4.7e-10
1,0.00734436
2,2.58978608
3,0.27619464
4,0.0095311
5,0.00062612
6,0.00036671
7,0.00031843
8,0.00020848
9,8.985e-05
10,5.477e-05
11,4.153e-05
12,0.00029599
13,0.0003749
14,7.736e-05
15,4.76e-05
16,2.042e-05
17,1.948e-05
18,6.05e-06
19,3.68e-06
20,3.13e-06
21,2.49e-06
22,1.39e-06
23,0.00017805
24,2.23e-06
25,2.98e-06
26,1.16e-06
27,9.3e-07
28,5.5e-07
29,3.9e-07
30,1.3e-07
31,1.2e-07
32,9e-08
33,2.4e-06
34,2.3e-07
35,5.4e-07
36,5e-08
37,8e-08
38,4e-08
39,2e-08
40,2e-08
41,2e-08
42,1e-08
43,4e-08
44,1.1e-07
45,3e-08
46,1e-08
47,6.1e-09
48,1e-08
49,3.1e-09
50,2.8e-09
51,2.7e-09
52,1.2e-09
53,7e-10
54,2e-08
55,1.1e-09
56,1.5e-09
57,7e-10
58,2.4e-10
1,0.00430895
2,1.51123702
3,0.16249302
4,0.00521238
5,0.00038734
