step,total_force_ry_bohr
88,0.101672
47,0.066481
55,0.047681
55,0.04464
57,0.04055
59,0.031997
59,0.024906
60,0.022387
58,0.021423
53,0.018083
55,0.01783
53,0.018012
56,0.018061
61,0.018631
55,0.017829
60,0.016129
52,0.015379
52,0.015624
55,0.015865
54,0.015148
60,0.013741
53,0.012711
51,0.012458
59,0.01236
52,0.011504
52,0.009694
53,0.007821
54,0.006538
50,0.005752
51,0.005197
51,0.004709
52,0.004231
50,0.003969
48,0.00414
53,0.004545
53,0.004725
48,0.004423
49,0.004154
48,0.004359
53,0.004823
55,0.005044
49,0.004761
50,0.004347
50,0.003993
49,0.003543
48,0.003082
