step,total_magnetization_bohr_cell
1,91.01
2,91.26
3,91.01
4,90.99
5,91.0
6,90.95
7,89.32
8,80.76
9,79.17
10,76.26
11,76.44
12,72.09
13,70.24
14,69.03
15,68.06
16,67.11
17,66.32
18,65.79
19,66.03
20,65.94
21,66.36
22,66.14
23,65.99
24,65.94
25,66.03
26,65.86
27,65.77
28,65.72
29,65.72
30,65.75
31,65.73
32,65.75
33,65.74
34,65.73
35,65.73
36,65.74
37,65.72
38,65.72
39,65.72
40,65.72
41,65.72
42,65.72
43,65.72
44,65.72
45,65.71
46,65.72
47,65.71
48,65.71
49,65.71
50,65.7
51,65.7
52,65.7
53,65.7
54,65.69
55,65.69
56,65.69
57,65.69
58,65.69
59,65.69
60,65.68
61,65.68
62,65.67
63,65.67
64,65.67
65,65.67
66,65.67
67,65.67
68,65.67
69,65.67
70,65.67
71,65.66
72,65.66
73,65.66
74,65.66
75,65.66
76,65.66
77,65.66
78,65.66
79,65.66
80,65.66
81,65.65
82,65.65
83,65.65
84,65.65
85,65.65
86,65.65
87,65.65
88,65.65
1,65.64
2,65.63
3,65.65
4,65.63
5,65.64
6,65.64
7,65.64
8,65.63
9,65.63
10,65.63
11,65.63
12,65.63
13,65.63
14,65.63
15,65.63
16,65.63
17,65.63
18,65.63
19,65.63
20,65.63
21,65.63
22,65.63
23,65.63
24,65.63
25,65.63
26,65.63
27,65.63
28,65.63
29,65.63
30,65.63
31,65.63
32,65.63
33,65.63
34,65.63
35,65.63
36,65.63
37,65.63
38,65.63
39,65.63
40,65.63
41,65.63
42,65.63
43,65.63
44,65.63
45,65.63
46,65.63
47,65.63
1,65.61
2,65.6
3,65.64
4,65.59
5,65.62
6,65.61
7,65.61
8,65.61
9,65.6
10,65.6
11,65.6
12,65.6
13,65.6
14,65.6
15,65.6
16,65.6
17,65.6
18,65.61
19,65.61
20,65.6
21,65.6
22,65.6
23,65.6
24,65.6
25,65.6
26,65.6
27,65.6
28,65.6
29,65.6
30,65.6
31,65.6
32,65.6
33,65.6
34,65.6
35,65.6
36,65.6
37,65.6
38,65.6
39,65.6
40,65.6
41,65.6
42,65.6
43,65.6
44,65.6
45,65.6
46,65.6
47,65.6
48,65.6
49,65.6
50,65.6
51,65.6
52,65.6
53,65.6
54,65.6
55,65.6
1,65.58
2,65.59
3,65.62
4,65.57
5,65.59
6,65.58
7,65.59
8,65.58
9,65.58
10,65.57
11,65.57
12,65.57
13,65.57
14,65.57
15,65.57
16,65.57
17,65.58
18,65.58
19,65.58
20,65.58
21,65.58
22,65.57
23,65.57
24,65.57
25,65.57
26,65.57
27,65.57
28,65.57
29,65.57
30,65.57
31,65.57
32,65.57
33,65.57
34,65.57
35,65.57
36,65.57
37,65.57
38,65.57
39,65.57
40,65.57
41,65.57
42,65.57
43,65.57
44,65.57
45,65.57
46,65.57
47,65.57
48,65.57
49,65.57
50,65.57
51,65.57
52,65.57
53,65.57
54,65.57
55,65.57
1,65.55
2,65.56
3,65.59
4,65.52
5,65.55
6,65.54
7,65.54
8,65.53
9,65.52
10,65.52
11,65.52
12,65.53
13,65.53
14,65.53
15,65.54
16,65.53
17,65.53
18,65.53
19,65.53
20,65.53
21,65.53
22,65.53
23,65.53
24,65.53
25,65.53
26,65.53
27,65.53
28,65.53
29,65.53
30,65.53
31,65.53
32,65.53
33,65.53
34,65.53
35,65.53
36,65.53
37,65.53
38,65.53
39,65.53
40,65.53
41,65.53
42,65.53
43,65.53
44,65.53
45,65.53
46,65.53
47,65.53
48,65.53
49,65.53
50,65.53
51,65.53
52,65.53
53,65.53
54,65.53
55,65.53
56,65.53
57,65.53
1,65.51
2,65.52
3,65.53
4,65.49
5,65.5
6,65.5
7,65.5
8,65.49
9,65.49
10,65.49
11,65.49
12,65.5
13,65.5
14,65.49
15,65.5
16,65.5
17,65.5
18,65.5
19,65.5
20,65.49
21,65.49
22,65.49
23,65.49
24,65.49
25,65.49
26,65.49
27,65.49
28,65.49
29,65.49
30,65.49
31,65.49
32,65.49
33,65.49
34,65.49
35,65.49
36,65.49
37,65.49
38,65.49
39,65.49
40,65.49
41,65.49
42,65.49
43,65.49
44,65.49
45,65.49
46,65.49
47,65.49
48,65.49
49,65.49
50,65.49
51,65.49
52,65.49
53,65.49
54,65.49
55,65.49
56,65.49
57,65.49
58,65.49
59,65.49
1,65.47
2,65.48
3,65.5
4,65.47
5,65.47
6,65.47
7,65.47
8,65.47
9,65.47
10,65.47
11,65.47
12,65.47
13,65.47
14,65.47
15,65.47
16,65.47
17,65.47
18,65.47
19,65.47
20,65.47
21,65.47
22,65.47
23,65.47
24,65.47
25,65.47
26,65.47
27,65.47
28,65.47
29,65.47
30,65.47
31,65.47
32,65.47
33,65.47
34,65.47
35,65.47
36,65.47
37,65.47
38,65.47
39,65.47
40,65.47
41,65.47
42,65.47
43,65.47
44,65.47
45,65.47
46,65.47
47,65.47
48,65.47
49,65.47
50,65.47
51,65.47
52,65.47
53,65.47
54,65.47
55,65.47
56,65.47
57,65.47
58,65.47
59,65.47
1,65.45
2,65.47
3,65.48
4,65.44
5,65.45
6,65.45
7,65.45
8,65.45
9,65.45
10,65.45
11,65.45
12,65.45
13,65.45
14,65.45
15,65.45
16,65.45
17,65.45
18,65.45
19,65.45
20,65.45
21,65.45
22,65.45
23,65.45
24,65.45
25,65.45
26,65.45
27,65.45
28,65.45
29,65.45
30,65.45
31,65.45
32,65.45
33,65.45
34,65.45
35,65.45
36,65.45
37,65.45
38,65.45
39,65.45
40,65.45
41,65.45
42,65.45
43,65.45
44,65.45
45,65.45
46,65.45
47,65.45
48,65.45
49,65.45
50,65.45
51,65.45
52,65.45
53,65.45
54,65.45
55,65.45
56,65.45
57,65.45
