step,energy_ry
1,-3653.29765449
2,-3653.3634887
3,-3653.46654747
4,-3653.61456752
5,-3653.68096192
6,-3653.72289457
7,-3653.75061837
8,-3653.78505536
9,-3653.82908091
10,-3653.87132605
11,-3653.88413056
12,-3653.89114591
13,-3653.89641507
14,-3653.90326312
15,-3653.91170691
16,-3653.9218708
17,-3653.93316041
18,-3653.94375693
19,-3653.95957046
20,-3653.97001457
21,-3653.97709013
22,-3653.98206441
23,-3653.98710231
24,-3653.99090791
25,-3653.99364471
26,-3653.99517724
27,-3653.99595242
28,-3653.99690679
29,-3653.99766644
30,-3653.99823702
31,-3653.99875676
32,-3653.99901976
33,-3653.99923213
34,-3653.99934398
