step,total_force_ry_bohr
1,1.688866
2,2.035236
3,0.647596
4,0.296664
5,0.202482
6,0.149467
7,0.171303
8,0.163217
9,0.128403
10,0.073398
11,0.113139
12,0.080915
13,0.063567
14,0.054218
15,0.068415
16,0.101113
17,0.128096
18,0.123283
19,0.092263
20,0.073628
21,0.056831
22,0.058059
23,0.04927
24,0.040851
25,0.032114
26,0.023932
27,0.022177
28,0.029315
29,0.018383
30,0.018989
31,0.013334
32,0.010051
33,0.008321
34,0.007684
35,0.006699
36,0.005785
37,0.0061
38,0.007062
39,0.007839
40,0.00836
41,0.00955
42,0.011686
43,0.015847
44,0.022547
45,0.032833
46,0.048338
47,0.071488
48,0.081685
49,0.092686
50,0.102435
51,0.127054
52,0.092642
53,0.070751
54,0.061554
55,0.057667
