step,conv_thr_ry
79,1e-08
52,2.4e-09
60,5.4e-09
42,1.8e-09
50,1.1e-09
58,1.1e-09
60,1.4e-09
59,1.7e-09
60,2.2e-09
53,3e-09
54,4.3e-09
58,5.1e-09
50,3.2e-09
50,2e-09
60,3.3e-09
85,3e-09
58,3e-09
56,3e-09
57,9e-10
48,9e-10
47,8e-10
49,8e-10
51,7e-10
49,2e-10
51,3e-10
51,3e-10
49,2e-10
51,2e-10
59,2e-10
50,1e-10
52,1e-10
47,1e-10
49,1e-10
49,1e-10
51,1e-10
57,1e-10
60,1e-10
52,1e-10
53,1e-10
53,1e-10
51,1e-10
61,1e-10
60,1e-10
68,1e-10
59,1e-10
59,1e-10
57,1e-10
52,1e-10
53,1e-10
57,1e-10
52,1e-10
57,1e-10
58,1e-10
58,1e-10
58,1e-10
59,1e-10
53,1e-10
50,1e-10
39,1e-10
46,1e-10
