step,energy_ry
1,-7275.55691515
2,-7275.55935695
3,-7275.5753111
4,-7275.57712932
5,-7275.57824157
6,-7275.5793911
7,-7275.58077059
8,-7275.58248514
9,-7275.58472029
10,-7275.58770452
11,-7275.59195902
12,-7275.59702253
13,-7275.60025102
14,-7275.60225434
15,-7275.60576273
16,-7275.60941904
17,-7275.61355045
18,-7275.61239751
19,-7275.61446305
20,-7275.61590402
21,-7275.61693698
22,-7275.61793993
23,-7275.61862133
24,-7275.61885373
25,-7275.61912576
26,-7275.61947064
27,-7275.61966945
28,-7275.61985221
29,-7275.62001849
30,-7275.62013385
31,-7275.62022068
32,-7275.62028519
33,-7275.62034523
34,-7275.6204118
35,-7275.62049085
36,-7275.62057555
37,-7275.62066446
38,-7275.6207525
39,-7275.62085058
40,-7275.62094249
41,-7275.62103706
42,-7275.62115201
43,-7275.62124184
44,-7275.62134005
45,-7275.62142143
46,-7275.62149411
47,-7275.62157442
48,-7275.6216543
49,-7275.62174923
50,-7275.62184609
51,-7275.62194141
52,-7275.62204457
53,-7275.62217828
54,-7275.6222637
55,-7275.62234886
56,-7275.62239545
57,-7275.62243673
58,-7275.62248199
59,-7275.62250458
60,-7275.62253173
