step,gradient_error_ry_bohr
79,0.2
52,0.24
60,0.054
42,0.02
50,0.015
58,0.025
60,0.034
59,0.035
60,0.023
53,0.039
54,0.066
58,0.062
50,0.05
50,0.046
60,0.033
85,0.03
58,0.03
56,0.04
57,0.012
48,0.0094
47,0.0082
49,0.008
51,0.0079
49,0.0075
51,0.007
51,0.0059
49,0.0051
51,0.0041
59,0.0023
50,0.0028
52,0.003
47,0.0025
49,0.0022
49,0.0024
51,0.003
57,0.0063
60,0.0052
52,0.0043
53,0.0023
53,0.0025
51,0.0027
61,0.0027
60,0.0026
68,0.0025
59,0.0031
59,0.0043
57,0.0033
52,0.002
53,0.0017
57,0.003
52,0.0033
57,0.0026
58,0.002
58,0.0018
58,0.0019
59,0.0023
53,0.005
50,0.0028
39,0.0021
46,0.0015
48,0.00092
