step,scf_accuracy_ry
1,55.02963023
2,489.21363538
3,54.67998222
4,134.12742852
5,25.77556511
6,34.81717166
7,77.99506778
8,11.43104348
9,5.54556448
10,78.61012773
11,6.52850993
12,1.94331877
13,0.5932955
14,2.28939273
15,1.50574933
16,0.16442656
17,0.11640741
18,0.07610749
19,0.01775804
20,0.00999407
21,0.00805585
22,0.00738685
23,0.01071898
24,0.01397926
25,0.01124281
26,0.01221893
27,0.0054763
28,0.00396233
29,0.00459925
30,0.00207769
31,0.00130312
32,0.00070863
33,0.00073194
34,0.00152894
35,0.00127401
36,0.00315203
37,0.00024716
38,0.00039581
39,0.00039402
40,0.00017483
41,7.978e-05
42,4.967e-05
43,3.497e-05
44,4.715e-05
45,1.945e-05
46,1.78e-05
47,7.966e-05
48,6.27e-06
49,6.1e-06
50,6.81e-06
51,4.9e-06
52,3.68e-06
53,2.76e-06
54,2.31e-06
55,5.53e-06
56,1.36e-06
57,8.1e-07
58,1.56e-06
59,2.99e-06
60,6.2e-07
61,6.3e-07
62,1.31e-06
63,1.06e-06
64,1.5e-07
65,1.3e-07
66,1e-07
67,2.2e-07
68,9e-08
69,2.8e-07
70,1.2e-07
71,4e-08
72,1.2e-07
73,2e-08
74,2e-08
75,1e-08
76,2e-08
77,4e-08
78,1e-08
79,9e-09
1,0.22225063
2,50.35879193
3,1.42682769
4,0.51835511
5,0.17966605
6,0.0652988
7,0.04641232
8,0.01104587
9,0.00656822
10,0.00521377
11,0.00249255
12,0.00244249
13,0.05945242
14,0.00141823
15,0.01298896
16,0.00238163
17,0.0011702
18,0.00013394
19,0.00013172
20,9.377e-05
21,5.62e-05
22,4.067e-05
23,0.00198939
24,8.861e-05
25,2.468e-05
26,2.368e-05
27,2.529e-05
28,1.167e-05
29,7.64e-06
30,4.09e-06
31,2.25e-06
32,1.42e-06
33,2.551e-05
34,1.68e-06
35,6.3e-07
36,1.44e-06
37,1.15e-06
38,1.96e-06
39,2.6e-07
40,2.2e-07
41,1.5e-07
42,1.3e-07
43,3.1e-07
44,1.37e-06
45,1e-07
46,1e-07
47,5e-08
48,1.8e-07
49,4e-08
50,2e-08
51,1e-08
52,9.5e-09
1,0.19323372
2,42.11515249
3,2.43541517
4,0.78151686
5,0.14671997
6,0.0284727
7,0.01838562
8,0.00456655
9,0.00296682
10,0.0020657
11,0.00143712
12,0.01210855
13,0.00347969
14,0.0031191
15,0.00092237
16,0.00108914
17,0.00039364
18,0.00021525
19,8.852e-05
20,6.17e-05
21,4.84e-05
22,7.374e-05
23,0.00012845
24,0.00015403
25,7.002e-05
26,6.232e-05
27,1.602e-05
28,1.19e-05
29,9.38e-06
30,5.41e-06
31,3.3e-06
32,1.77e-06
33,2.091e-05
34,8.75e-06
35,3.51e-06
36,9.2e-07
37,5.5e-07
38,5.6e-07
39,4.1e-07
40,1.5e-07
41,1.2e-07
42,2.1e-07
43,1.36e-06
44,7e-08
45,2.2e-07
46,6e-08
47,1.2e-07
48,4e-08
49,3e-08
50,2e-08
51,2e-08
52,2e-08
53,1.5e-07
54,7.4e-09
55,3e-08
56,7e-09
57,6.9e-09
58,3.6e-09
59,3.3e-09
60,2.4e-09
1,0.00160121
2,0.08090483
3,0.00705358
4,0.00604283
5,0.00355714
6,0.00084704
7,0.00046362
8,0.00011116
9,9.385e-05
10,4.657e-05
11,2.773e-05
12,2.132e-05
13,0.0017117
14,4.819e-05
15,0.00013086
16,3.55e-05
17,6.58e-06
18,4.32e-06
19,3.3e-06
20,1.69e-06
21,1.24e-06
22,8.9e-07
23,1.483e-05
24,1.35e-06
25,2.47e-06
26,5.2e-07
27,3.4e-07
28,3e-07
29,2.7e-07
30,7e-08
31,5e-08
32,4e-08
33,7e-08
34,2.08e-06
35,1.2e-07
36,4e-08
37,2e-08
38,1e-08
39,8.7e-09
40,8.4e-09
41,5.7e-09
42,4.2e-09
1,0.00146308
2,0.1369196
3,0.04594014
4,0.00814995
5,0.00134117
6,0.00031322
7,0.00021237
8,0.00010778
9,7.727e-05
10,5.798e-05
11,2.89e-05
12,2.379e-05
13,0.00100519
14,7.118e-05
15,2.517e-05
16,2.462e-05
17,7.31e-06
18,6.23e-06
19,3.53e-06
20,2.75e-06
21,1.33e-06
22,8.6e-07
23,5.58e-06
24,5.87e-06
25,6.36e-06
26,7.1e-07
27,5.4e-07
28,2.7e-07
29,2.5e-07
30,1.9e-07
31,9e-08
32,6e-08
33,5e-08
34,5e-07
35,5e-08
36,4e-08
