step,total_force_ry_bohr
79,0.245744
52,0.333628
60,0.072596
42,0.033936
50,0.025639
58,0.03422
60,0.042978
59,0.047391
60,0.052475
53,0.072763
54,0.100346
58,0.089005
50,0.070335
50,0.064965
60,0.051305
85,0.047641
58,0.055531
56,0.077947
57,0.034661
48,0.026548
47,0.020583
49,0.01533
51,0.014634
49,0.014162
51,0.012919
51,0.011659
49,0.011332
51,0.010297
59,0.00821
50,0.006325
52,0.005687
47,0.005589
49,0.005638
49,0.006166
51,0.006659
57,0.010524
60,0.008275
52,0.008143
53,0.006781
53,0.007207
51,0.007679
61,0.007762
60,0.007419
68,0.006611
59,0.007237
59,0.008771
57,0.007192
52,0.006586
53,0.006621
57,0.007501
52,0.007847
57,0.007562
58,0.007122
58,0.006597
58,0.006049
59,0.006241
53,0.009393
50,0.005843
39,0.004734
46,0.003734
48,0.003019
