step,total_magnetization_bohr_cell
1,90.99
2,91.06
3,91.01
4,90.99
5,91.0
6,90.96
7,89.86
8,81.69
9,79.15
10,76.53
11,70.42
12,67.32
13,66.27
14,66.24
15,65.97
16,65.69
17,65.6
18,65.55
19,65.92
20,65.96
21,66.02
22,66.04
23,66.06
24,66.04
25,65.97
26,65.97
27,65.92
28,65.86
29,65.84
30,65.83
31,65.8
32,65.79
33,65.78
34,65.78
35,65.77
36,65.75
37,65.75
38,65.74
39,65.73
40,65.72
41,65.72
42,65.72
43,65.71
44,65.71
45,65.71
46,65.7
47,65.7
48,65.7
49,65.69
50,65.69
51,65.69
52,65.69
53,65.69
54,65.69
55,65.69
56,65.68
57,65.68
58,65.68
59,65.68
60,65.68
61,65.68
62,65.68
63,65.68
64,65.67
65,65.67
66,65.67
67,65.67
68,65.67
69,65.67
70,65.67
71,65.67
72,65.67
73,65.67
74,65.67
75,65.67
76,65.67
77,65.67
78,65.67
79,65.67
1,65.73
2,65.58
3,65.56
4,65.7
5,65.61
6,65.6
7,65.52
8,65.51
9,65.54
10,65.59
11,65.63
12,65.63
13,65.63
14,65.62
15,65.58
16,65.59
17,65.59
18,65.59
19,65.59
20,65.59
21,65.6
22,65.6
23,65.6
24,65.6
25,65.6
26,65.6
27,65.6
28,65.6
29,65.6
30,65.6
31,65.6
32,65.6
33,65.6
34,65.6
35,65.6
36,65.6
37,65.6
38,65.6
39,65.6
40,65.6
41,65.6
42,65.6
43,65.6
44,65.6
45,65.6
46,65.6
47,65.6
48,65.6
49,65.6
50,65.6
51,65.6
52,65.6
1,65.53
2,65.67
3,65.72
4,65.55
5,65.65
6,65.64
7,65.67
8,65.66
9,65.66
10,65.65
11,65.63
12,65.61
13,65.61
14,65.61
15,65.61
16,65.61
17,65.62
18,65.62
19,65.63
20,65.63
21,65.63
22,65.63
23,65.63
24,65.63
25,65.63
26,65.63
27,65.62
28,65.62
29,65.62
30,65.63
31,65.63
32,65.63
33,65.63
34,65.63
35,65.63
36,65.63
37,65.63
38,65.63
39,65.63
40,65.63
41,65.63
42,65.63
43,65.63
44,65.63
45,65.63
46,65.63
47,65.63
48,65.63
49,65.63
50,65.63
51,65.63
52,65.63
53,65.63
54,65.63
55,65.63
56,65.63
57,65.63
58,65.63
59,65.63
60,65.63
1,65.63
2,65.62
3,65.62
4,65.62
5,65.61
6,65.61
7,65.61
8,65.61
9,65.61
10,65.61
11,65.62
12,65.62
13,65.61
14,65.61
15,65.61
16,65.61
17,65.61
18,65.61
19,65.61
20,65.61
21,65.61
22,65.61
23,65.61
24,65.61
25,65.61
26,65.61
27,65.61
28,65.61
29,65.61
30,65.61
31,65.61
32,65.61
33,65.61
34,65.61
35,65.61
36,65.61
37,65.61
38,65.61
39,65.61
40,65.61
41,65.61
42,65.61
1,65.61
2,65.61
3,65.61
4,65.59
5,65.6
6,65.6
7,65.6
8,65.59
9,65.59
10,65.6
11,65.6
12,65.6
13,65.6
14,65.6
15,65.6
16,65.6
17,65.6
18,65.59
19,65.59
20,65.59
21,65.59
22,65.59
23,65.59
24,65.59
25,65.59
26,65.59
27,65.59
28,65.59
29,65.59
30,65.59
31,65.59
32,65.59
33,65.59
34,65.59
35,65.59
36,65.59
37,65.59
38,65.59
39,65.59
40,65.59
41,65.59
42,65.59
43,65.59
44,65.59
45,65.59
