step,energy_ry
1,-8184.58921103
2,-8184.62237665
3,-8184.63494118
4,-8184.63948056
5,-8184.64243661
6,-8184.64631316
7,-8184.64939365
8,-8184.65203018
9,-8184.65439812
10,-8184.65597845
11,-8184.65709152
12,-8184.65810707
13,-8184.65889927
14,-8184.65959122
15,-8184.66017037
16,-8184.66069033
17,-8184.66126243
18,-8184.66185163
19,-8184.66239746
20,-8184.66291519
21,-8184.66343388
22,-8184.66394069
23,-8184.66443458
24,-8184.6649478
25,-8184.66547573
26,-8184.66598642
27,-8184.66647652
28,-8184.6669059
29,-8184.66726084
30,-8184.66751131
31,-8184.66772951
32,-8184.66795808
33,-8184.66823223
34,-8184.66853661
35,-8184.66876712
36,-8184.66892073
37,-8184.6690413
38,-8184.6691449
39,-8184.66922142
40,-8184.66926625
41,-8184.6692996
42,-8184.6693325
43,-8184.66936523
