step,energy_ry
1,-8185.00226302
2,-8185.01844161
3,-8185.02673942
4,-8185.02917663
5,-8185.03096268
6,-8185.03317793
7,-8185.03481096
8,-8185.03653748
9,-8185.03818399
10,-8185.03955684
11,-8185.04063015
12,-8185.04172299
13,-8185.04269297
14,-8185.04340599
15,-8185.04383917
16,-8185.04415652
17,-8185.04454581
18,-8185.04493204
19,-8185.04523598
20,-8185.04553512
21,-8185.04590909
22,-8185.04637216
23,-8185.04685993
24,-8185.04730301
25,-8185.04769564
26,-8185.04802507
27,-8185.04828231
28,-8185.04846734
29,-8185.04860524
30,-8185.04871842
31,-8185.04882275
32,-8185.04893582
33,-8185.04905947
34,-8185.04918377
35,-8185.04928798
36,-8185.04936881
37,-8185.04943508
38,-8185.04949153
39,-8185.04953763
40,-8185.04957039
41,-8185.04959447
