step,scf_accuracy_ry
1,1.3e-07
2,5.09e-06
3,4.254e-05
4,1.5e-07
5,5e-08
6,4.9e-09
1,4.673e-05
2,0.00514591
3,0.0002293
4,4.22e-06
5,4.976e-05
6,8.3e-07
7,5.2e-07
8,4.7e-07
9,8.5e-07
10,1.2e-07
11,7e-08
12,3.4e-07
13,1.4e-07
14,2e-07
15,1.39e-06
16,2.5e-07
17,7e-08
18,2e-08
19,1e-08
20,8.5e-09
1,2.286e-05
2,0.00405096
3,0.00434705
4,0.00012697
5,1.27e-06
6,1.09e-06
7,1.59e-06
8,6.4e-07
9,5e-07
10,1.6e-07
11,1e-07
12,6e-08
13,3.03e-06
14,4.1e-07
15,4.9e-07
16,9e-08
17,2.5e-07
18,3e-08
19,1e-08
20,9.2e-09
21,4.9e-09
22,2.8e-09
23,2e-08
24,1e-07
25,9.1e-09
26,2e-08
27,1.7e-09
28,2.8e-09
29,1.8e-09
30,6.4e-10
31,2.7e-10
32,2.7e-10
33,1.6e-10
34,4.2e-09
35,1.2e-09
36,1e-09
37,4.5e-10
38,8e-11
