step,energy_ry
1,-8185.04959447
2,-8185.04960472
3,-8185.04961334
4,-8185.04962329
5,-8185.04963467
6,-8185.04964708
7,-8185.04966027
8,-8185.04967468
9,-8185.04969828
10,-8185.04973138
11,-8185.04976215
12,-8185.04978726
13,-8185.04981056
14,-8185.04983508
15,-8185.04985498
16,-8185.04987214
17,-8185.04989437
18,-8185.04992627
19,-8185.04996059
20,-8185.04999048
21,-8185.05001903
22,-8185.05005027
23,-8185.05008176
24,-8185.05010918
25,-8185.05013135
26,-8185.05015598
27,-8185.05018167
28,-8185.05021122
29,-8185.0502428
30,-8185.05027751
31,-8185.05031618
32,-8185.05036438
33,-8185.05042509
34,-8185.05050004
