step,scf_accuracy_ry
1,382.42693043
2,252.00934341
3,47.19266327
4,35.08835187
5,20.03030479
6,14.17078121
7,1925.78511756
8,1965.35507504
9,1675.60826902
10,1494.25364855
11,52.46077325
12,51.89360783
13,50.20775321
14,67.94007958
15,82.07602624
16,108.50812952
17,16.59669693
18,100.34630736
19,844.57975784
20,1769.56693303
21,2016.67454564
22,1920.16872064
23,2074.00793058
24,1354.98575664
25,310.82636827
26,44.85938494
27,55.40004539
28,49.94113476
29,838.80563809
30,111.06158599
31,224.43977873
32,763.51744959
33,2093.38734697
34,1212.2885985
35,1732.03930271
36,41.90102549
37,15.84798675
38,263.34521442
39,8.55998498
40,1225.10487051
41,578.11756111
42,494.36554772
43,652.54958001
44,18.21472386
45,2.96561458
46,2.84101829
47,81.63031656
48,886.20720744
49,267.55336114
50,28.13593826
51,19.00902213
52,8.30115998
53,19.29209667
54,4.60952759
55,7.78869771
56,2.18664961
57,0.99297175
58,0.7262528
59,0.17341687
60,0.13369547
61,0.08362037
62,0.04276463
63,0.03857225
64,0.02163941
65,0.01407759
66,0.01237919
67,0.00989821
68,0.00874306
69,0.00739038
70,0.00500008
71,0.00408347
72,0.00242018
73,0.00216097
74,0.00169811
75,0.0014486
76,0.00086725
77,0.00055054
78,0.00047201
79,0.00042941
80,0.00024787
81,0.00020904
82,0.00020309
83,0.00018591
84,0.00012108
85,0.0001002
86,7.781e-05
87,5.553e-05
88,4.341e-05
89,3.014e-05
90,2.273e-05
91,2.033e-05
92,1.922e-05
93,1.797e-05
94,1.302e-05
95,1.053e-05
96,9.08e-06
97,7.27e-06
98,5.97e-06
99,5.56e-06
100,3.33e-06
101,2.57e-06
102,2.32e-06
103,2.1e-06
104,2.14e-06
105,1.77e-06
106,1.59e-06
107,1.5e-06
108,1.35e-06
109,1.22e-06
110,1e-06
111,8.9e-07
112,7.4e-07
113,6.5e-07
114,5.9e-07
115,4.9e-07
116,3.5e-07
117,2.6e-07
118,2e-07
119,1.5e-07
120,8e-08
121,6e-08
122,5e-08
123,4e-08
124,2e-08
125,2e-08
126,1e-08
127,1e-08
128,8.7e-09
1,0.01298314
2,0.0125715
3,0.00562105
4,0.00293105
5,0.00234667
6,0.00161244
7,0.00116745
8,0.00083643
9,0.00056226
10,0.00031602
11,0.00019028
12,0.00013762
