step,total_force_ry_bohr
128,0.160077
49,0.088266
47,0.049363
55,0.039132
46,0.035098
47,0.032236
47,0.031427
50,0.031982
48,0.033592
49,0.029833
52,0.024731
47,0.024407
47,0.022506
48,0.019704
46,0.015999
48,0.014567
47,0.014309
50,0.013402
47,0.013001
50,0.013415
47,0.014665
51,0.01541
52,0.015859
51,0.015254
52,0.013868
48,0.012289
49,0.010737
49,0.00929
49,0.008124
47,0.007436
47,0.007449
47,0.007976
63,0.008295
52,0.007807
50,0.006882
49,0.00621
50,0.005797
47,0.005238
44,0.004495
41,0.003867
43,0.003426
53,0.003175
