step,total_magnetization_bohr_cell
1,25.21
2,56.89
3,53.75
4,53.12
5,50.52
6,46.85
7,6.14
8,5.92
9,6.42
10,7.09
11,49.21
12,50.63
13,48.72
14,53.79
15,53.95
16,54.09
17,48.09
18,33.89
19,15.25
20,5.62
21,5.01
22,5.27
23,5.18
24,9.47
25,26.85
26,50.68
27,50.99
28,47.17
29,17.04
30,36.14
31,31.06
32,19.8
33,4.61
34,10.62
35,5.46
36,46.58
37,41.85
38,26.78
39,43.44
40,8.76
41,19.71
42,21.6
43,18.24
44,39.02
45,40.52
46,40.43
47,30.88
48,11.55
49,25.28
50,35.64
51,36.12
52,37.58
53,34.66
54,36.21
55,34.47
56,35.24
57,34.47
58,33.8
59,33.74
60,34.21
61,34.41
62,34.51
63,34.43
64,33.77
65,33.44
66,33.54
67,33.65
68,33.7
69,33.7
70,33.47
71,33.41
72,33.39
73,33.38
74,33.32
75,33.33
76,33.35
77,33.41
78,33.43
79,33.44
80,33.43
81,33.43
82,33.43
83,33.43
84,33.42
85,33.42
86,33.43
87,33.43
88,33.42
89,33.42
90,33.42
91,33.42
92,33.42
93,33.43
94,33.43
95,33.43
96,33.43
97,33.43
98,33.43
99,33.43
100,33.43
101,33.43
102,33.43
103,33.43
104,33.43
105,33.43
106,33.42
107,33.42
108,33.42
109,33.42
110,33.42
111,33.42
112,33.42
113,33.42
114,33.42
115,33.42
116,33.42
117,33.42
118,33.42
119,33.42
120,33.42
121,33.41
122,33.41
123,33.41
124,33.41
125,33.41
126,33.41
127,33.41
128,33.41
1,33.48
2,33.28
3,33.35
4,33.35
5,33.35
6,33.38
7,33.38
8,33.37
9,33.37
10,33.37
11,33.37
12,33.37
13,33.37
14,33.37
15,33.37
16,33.37
17,33.37
18,33.37
19,33.37
20,33.37
21,33.37
22,33.37
23,33.37
24,33.37
25,33.37
26,33.36
27,33.36
28,33.36
29,33.36
30,33.36
31,33.36
32,33.36
33,33.36
34,33.36
35,33.36
36,33.36
37,33.36
38,33.36
39,33.36
40,33.36
41,33.36
42,33.36
43,33.36
44,33.36
45,33.36
46,33.36
47,33.36
48,33.36
49,33.36
1,33.39
2,33.29
3,33.33
4,33.33
5,33.33
6,33.35
7,33.35
8,33.34
9,33.33
10,33.33
11,33.33
12,33.33
13,33.34
14,33.33
15,33.33
16,33.33
17,33.33
18,33.33
19,33.33
20,33.33
21,33.33
22,33.33
23,33.33
24,33.33
25,33.33
26,33.33
27,33.33
28,33.33
29,33.33
30,33.33
31,33.33
32,33.33
33,33.33
34,33.33
35,33.33
36,33.33
37,33.33
38,33.33
39,33.33
40,33.33
41,33.33
42,33.33
43,33.33
44,33.33
45,33.33
46,33.33
47,33.33
1,33.33
2,33.32
3,33.33
4,33.33
5,33.33
6,33.33
7,33.33
8,33.33
9,33.32
10,33.32
11,33.32
12,33.32
13,33.32
14,33.33
15,33.33
16,33.33
17,33.33
18,33.33
19,33.33
20,33.33
21,33.33
22,33.33
23,33.33
24,33.32
25,33.32
26,33.32
27,33.32
28,33.32
29,33.32
30,33.32
31,33.32
32,33.32
33,33.32
34,33.32
35,33.32
36,33.32
37,33.32
38,33.32
39,33.32
40,33.32
41,33.32
42,33.32
43,33.32
44,33.32
45,33.32
46,33.32
47,33.32
48,33.32
49,33.32
50,33.32
51,33.32
52,33.32
53,33.32
54,33.32
55,33.32
1,33.33
2,33.33
3,33.33
4,33.33
5,33.33
6,33.32
7,33.33
8,33.33
9,33.33
10,33.33
11,33.33
12,33.33
13,33.33
14,33.33
15,33.33
16,33.33
17,33.33
18,33.33
19,33.33
20,33.33
21,33.33
22,33.33
23,33.33
24,33.33
25,33.33
26,33.33
27,33.33
28,33.33
29,33.33
30,33.33
31,33.33
32,33.33
33,33.33
34,33.33
35,33.33
36,33.33
37,33.33
38,33.33
39,33.33
40,33.33
