step,energy_ry
1,-8183.81593428
2,-8183.83910298
3,-8183.84588145
4,-8183.84936943
5,-8183.85108331
6,-8183.85335771
7,-8183.85530897
8,-8183.85687901
9,-8183.85798674
10,-8183.85874217
11,-8183.85934496
12,-8183.8600247
13,-8183.86072701
14,-8183.86122349
15,-8183.8615667
16,-8183.86178397
17,-8183.86198032
18,-8183.86217174
19,-8183.86234705
20,-8183.86254946
21,-8183.86276857
22,-8183.86308314
23,-8183.86348672
24,-8183.86386343
25,-8183.86431078
26,-8183.8647894
27,-8183.86524902
28,-8183.8656738
