step,scf_accuracy_ry
1,32.08378858
2,501.26721225
3,26.27130131
4,7.49434335
5,1.39624257
6,1.38421376
7,0.72147944
8,1.31934558
9,0.31402718
10,0.26538476
11,0.1447423
12,0.02878018
13,0.05140228
14,0.02409729
15,0.02340444
16,0.02427119
17,0.0050638
18,0.00266875
19,0.00196321
20,0.00116299
21,0.00088839
22,0.00038056
23,0.00022311
24,0.00011932
25,0.00010632
26,0.00017438
27,3.881e-05
28,2.642e-05
29,2.551e-05
30,1.875e-05
31,1.029e-05
32,5.08e-06
33,3.87e-06
34,2.85e-06
35,1.47e-06
36,2.09e-06
37,1.03e-06
38,6.6e-07
39,5e-07
40,4.1e-07
41,2.4e-07
42,1.5e-07
43,1.2e-07
44,9e-08
45,6e-08
46,5e-08
47,1.8e-07
48,2e-08
49,2e-08
50,2e-08
51,2e-08
52,1e-08
53,7.3e-09
1,0.00220922
2,0.00225136
3,0.0023088
4,0.00209221
5,0.00101294
6,0.00034385
7,0.00024845
8,0.00017018
9,0.0001203
10,9.163e-05
11,4.754e-05
12,3.069e-05
13,1.984e-05
14,3.445e-05
15,9.37e-06
16,9.1e-06
17,5.57e-06
18,3.46e-06
19,1.97e-06
20,1.49e-06
21,1.22e-06
22,7.8e-07
23,4.5e-07
24,3.6e-07
25,1.17e-06
26,4.4e-07
27,4.6e-07
28,2.1e-07
29,5e-08
30,3e-08
31,3e-08
32,2e-08
33,1e-08
34,8.1e-09
35,3e-08
36,6.5e-09
37,3.4e-09
38,2.6e-09
39,2e-09
40,1.4e-09
41,1.2e-09
42,7.7e-10
43,5.5e-10
44,2.2e-10
45,3.4e-10
46,1.5e-10
1,0.00191716
2,0.00183587
3,0.00191525
4,0.002255
5,0.00116959
6,0.00033535
7,0.00023853
8,0.00016462
9,0.00012276
10,8.612e-05
11,4.066e-05
12,2.045e-05
13,1.198e-05
14,3.657e-05
15,1.023e-05
16,8.25e-06
17,7.04e-06
18,3.48e-06
19,1.75e-06
20,1.48e-06
21,9.5e-07
22,9e-07
23,8.6e-07
24,7.9e-07
25,5.4e-07
26,3.1e-07
27,1.8e-07
28,7e-08
29,6e-08
30,6e-08
31,5e-08
32,2e-08
33,1e-08
34,9.8e-09
35,5.8e-09
36,3.6e-09
37,8e-09
38,2e-09
39,1.8e-09
40,1.2e-09
41,1e-09
42,4.5e-10
43,3.8e-10
44,3.1e-10
45,1.8e-10
46,1.4e-10
1,0.00128137
2,0.00125752
3,0.00144195
4,0.00118553
5,0.00079075
6,0.00024165
7,0.00018324
8,0.00013687
9,7.944e-05
10,6.075e-05
11,2.261e-05
12,1.421e-05
13,1.471e-05
14,1.86e-05
15,6.16e-06
16,5.93e-06
17,3.59e-06
18,1.92e-06
19,1.29e-06
20,8.3e-07
21,5e-07
22,4e-07
23,3.3e-07
24,8.3e-07
25,1.5e-07
26,1.3e-07
27,7e-08
28,5e-08
29,4e-08
30,3e-08
31,2e-08
32,1e-08
33,9.7e-09
34,2e-08
35,4.4e-09
36,3.3e-09
