step,total_force_ry_bohr
1,0.09374
2,0.059002
3,0.037755
4,0.031862
5,0.029157
6,0.024609
7,0.02086
8,0.018921
9,0.019247
10,0.017697
11,0.018522
12,0.019646
13,0.020464
14,0.020791
15,0.018804
16,0.015789
17,0.014655
18,0.014823
19,0.015609
20,0.017013
21,0.018578
22,0.018825
23,0.016975
24,0.014463
25,0.013214
26,0.012852
27,0.012179
28,0.010938
29,0.009944
30,0.01027
31,0.011969
32,0.013817
33,0.014672
34,0.014258
35,0.015284
36,0.018278
37,0.021133
38,0.024155
39,0.028462
40,0.03
41,0.033334
42,0.03388
43,0.029019
44,0.026303
45,0.025732
46,0.024577
47,0.025641
48,0.023977
49,0.02551
50,0.023811
51,0.022131
52,0.019685
53,0.017698
54,0.016393
55,0.01546
56,0.015556
57,0.015809
58,0.016988
59,0.018578
60,0.018258
61,0.017977
62,0.017559
63,0.017753
64,0.018628
65,0.016292
66,0.014282
67,0.013978
68,0.012843
69,0.01382
70,0.011747
71,0.011835
72,0.011354
