step,total_magnetization_bohr_cell
1,40.12
2,12.82
3,37.0
4,36.93
5,34.28
6,32.08
7,34.03
8,32.48
9,33.35
10,33.16
11,33.13
12,33.42
13,33.69
14,33.55
15,33.38
16,33.3
17,33.43
18,33.47
19,33.48
20,33.49
21,33.49
22,33.48
23,33.47
24,33.47
25,33.47
26,33.47
27,33.48
28,33.48
29,33.47
30,33.47
31,33.47
32,33.47
33,33.47
34,33.47
35,33.47
36,33.47
37,33.47
38,33.47
39,33.47
40,33.47
41,33.47
42,33.47
43,33.47
44,33.47
45,33.47
46,33.47
47,33.47
48,33.47
49,33.47
50,33.47
51,33.47
52,33.47
53,33.47
1,33.49
2,33.46
3,33.48
4,33.48
5,33.48
6,33.49
7,33.48
8,33.47
9,33.47
10,33.47
11,33.47
12,33.47
13,33.48
14,33.48
15,33.48
16,33.48
17,33.48
18,33.48
19,33.48
20,33.48
21,33.48
22,33.48
23,33.48
24,33.48
25,33.48
26,33.48
27,33.48
28,33.48
29,33.48
30,33.48
31,33.48
32,33.48
33,33.48
34,33.48
35,33.48
36,33.48
37,33.48
38,33.48
39,33.48
40,33.48
41,33.48
42,33.48
43,33.48
44,33.48
45,33.48
46,33.48
1,33.48
2,33.47
3,33.49
4,33.48
5,33.47
6,33.48
7,33.48
8,33.48
9,33.48
10,33.47
11,33.48
12,33.48
13,33.48
14,33.48
15,33.48
16,33.48
17,33.48
18,33.48
19,33.48
20,33.48
21,33.48
22,33.48
23,33.48
24,33.48
25,33.48
26,33.48
27,33.48
28,33.48
29,33.48
30,33.48
31,33.48
32,33.48
33,33.48
34,33.48
35,33.48
36,33.48
37,33.48
38,33.48
39,33.48
40,33.48
41,33.48
42,33.48
43,33.48
44,33.48
45,33.48
46,33.48
1,33.48
2,33.47
3,33.47
4,33.49
5,33.47
6,33.48
7,33.48
8,33.48
9,33.48
10,33.48
11,33.48
12,33.48
13,33.48
14,33.48
15,33.48
16,33.48
17,33.48
18,33.48
19,33.48
20,33.48
21,33.48
22,33.48
23,33.48
24,33.48
25,33.48
26,33.48
27,33.48
28,33.48
29,33.48
30,33.48
31,33.48
32,33.48
