step,energy_ry
1,-8185.00226313
2,-8185.01844163
3,-8185.02674256
4,-8185.02917909
5,-8185.03096316
6,-8185.03318077
7,-8185.03481485
8,-8185.0365361
9,-8185.03818483
10,-8185.03955955
11,-8185.04063116
12,-8185.04172628
13,-8185.04269216
14,-8185.04340605
15,-8185.04384022
16,-8185.04415686
17,-8185.04455158
18,-8185.04493198
19,-8185.04523795
20,-8185.0455375
21,-8185.04591104
22,-8185.04631538
23,-8185.04683572
24,-8185.04725959
25,-8185.04765997
26,-8185.04800133
27,-8185.04826342
28,-8185.0484543
29,-8185.04859515
30,-8185.04871033
31,-8185.04881477
32,-8185.04892459
33,-8185.04904966
34,-8185.04917346
35,-8185.0492805
36,-8185.04936292
37,-8185.04942993
38,-8185.04948751
39,-8185.04953449
40,-8185.04956851
41,-8185.04959315
42,-8185.04961291
