step,total_force_ry_bohr
1,0.160077
2,0.088266
3,0.049363
4,0.039132
5,0.035098
6,0.032236
7,0.031427
8,0.031982
9,0.033592
10,0.029833
11,0.024731
12,0.024407
13,0.022506
14,0.019704
15,0.015999
16,0.014567
17,0.014309
18,0.013402
19,0.013001
20,0.013415
21,0.014665
22,0.01541
23,0.015859
24,0.015254
25,0.013868
26,0.012289
27,0.010737
28,0.00929
29,0.008124
30,0.007436
31,0.007449
32,0.007976
33,0.008295
34,0.007807
35,0.006882
36,0.00621
37,0.005797
38,0.005238
39,0.004495
40,0.003867
41,0.003426
42,0.003175
