     atom   36 type  1   force =    -3.05184806   -0.67719079 -131.32306326
     atom   37 type  2   force =    -1.09171999   10.48838104  -89.03043988
     atom   38 type  2   force =     3.19515522    1.59690206  -95.16604168
     atom   39 type  2   force =     3.58592694    2.16797278  -80.23278213
     atom   40 type  3   force =     2.90480383   -1.69669504  -59.31265529
     atom   41 type  3   force =    -1.98122285   -5.58536156  -62.94642712
     atom   42 type  3   force =    -2.84832286   -4.65842973  -54.80132591
     atom   43 type  4   force =     3.42561068    0.06840139  -14.80305171
     atom   44 type  4   force =    -2.95175915   -1.03806638  -15.58430839
     atom   45 type  4   force =     1.05455889   -2.92774267  -15.64108177
     atom   46 type  4   force =     0.35398344   -3.07254102  -13.66425501
     atom   47 type  4   force =    -3.08413134   -0.41104539  -13.86613432
     atom   48 type  4   force =    -4.15923437    1.21798575  -15.25425910
     atom   49 type  4   force =    -0.57947839    3.90567492  -16.34631061
     atom   50 type  4   force =    -1.20845820   -1.35637814  -14.85305504
     The core correction contribution to forces
     atom    1 type  1   force =     0.00118802   -0.00191456    0.02193870
     atom    2 type  1   force =     0.00110452   -0.00193423    0.02251982
     atom    3 type  1   force =     0.00154430   -0.00210138    0.02269873
     atom    4 type  1   force =     0.00118851   -0.00205198    0.02285064
     atom    5 type  1   force =     0.00066530   -0.00170740    0.02113945
     atom    6 type  1   force =     0.00125988   -0.00244838    0.02289837
     atom    7 type  1   force =     0.00092300   -0.00150568    0.02167714
     atom    8 type  1   force =     0.00081110   -0.00205789    0.02169448
     atom    9 type  1   force =     0.00171413   -0.00196634    0.02226838
     atom   10 type  1   force =    -0.00112521    0.00072708   -0.00758467
     atom   11 type  1   force =    -0.00131768    0.00217101   -0.00674683
     atom   12 type  1   force =    -0.00083385    0.00207373   -0.00771295
     atom   13 type  1   force =    -0.00071107    0.00107903   -0.00725180
     atom   14 type  1   force =    -0.00043846    0.00093699   -0.00685784
     atom   15 type  1   force =    -0.00105100    0.00186252   -0.00711176
     atom   16 type  1   force =    -0.00077261    0.00169429   -0.00746523
     atom   17 type  1   force =    -0.00072911    0.00089206   -0.00727657
     atom   18 type  1   force =    -0.00046817    0.00192313   -0.00772569
     atom   19 type  1   force =     0.00226107    0.00029519    0.00544003
     atom   20 type  1   force =     0.00084538   -0.00114462    0.00592811
     atom   21 type  1   force =     0.00137766   -0.00044635    0.00265098
