step,total_force_ry_bohr
1,0.178517
2,0.144579
3,0.124398
4,0.111468
5,0.098435
6,0.093508
7,0.09479
8,0.08113
9,0.066987
10,0.068454
11,0.095051
12,0.097815
13,0.097771
14,0.091175
15,0.078488
16,0.06353
17,0.054293
18,0.048857
19,0.038531
20,0.025803
21,0.022469
22,0.021701
23,0.020583
24,0.02224
25,0.028384
26,0.037239
27,0.045323
28,0.056449
29,0.071402
30,0.082985
31,0.077411
32,0.068919
33,0.057839
34,0.048599
35,0.036506
36,0.031489
37,0.029389
38,0.028551
39,0.031033
40,0.030756
41,0.028973
42,0.0316
43,0.036003
44,0.036593
45,0.0333
46,0.029601
47,0.027428
48,0.025826
49,0.02308
50,0.019745
51,0.018106
52,0.018029
53,0.017601
54,0.015416
55,0.012561
56,0.010439
57,0.008835
58,0.007263
59,0.006044
60,0.005571
61,0.005102
62,0.004841
63,0.0052
64,0.006053
65,0.006714
66,0.007166
67,0.007465
68,0.007757
69,0.008209
70,0.008286
