step,energy_ry
99,-7385.40254241
51,-7385.40762005
71,-7385.41308016
55,-7385.41721609
80,-7385.42078869
59,-7385.42415946
59,-7385.42653398
71,-7385.42818189
80,-7385.42943233
76,-7385.43033921
80,-7385.43111433
92,-7385.43197034
58,-7385.43264316
60,-7385.43321738
79,-7385.43372972
88,-7385.43431506
78,-7385.43504872
90,-7385.43589213
91,-7385.43654793
72,-7385.43722606
100,-7385.43774311
91,-7385.438236
88,-7385.43875535
71,-7385.43925864
71,-7385.43966159
90,-7385.43994836
91,-7385.44014316
79,-7385.44029503
89,-7385.44042028
89,-7385.44053148
100,-7385.44063502
72,-7385.44073586
90,-7385.44084167
80,-7385.44096384
69,-7385.44111327
61,-7385.44127663
69,-7385.44143618
66,-7385.44157299
61,-7385.44168506
70,-7385.4417735
55,-7385.44184287
77,-7385.4418955
71,-7385.44193686
68,-7385.44196635
60,-7385.44198838
