step,scf_accuracy_ry
1,130.22873484
2,1114.62783272
3,224.21219183
4,864.55995409
5,89.43743676
6,34.96412041
7,29.36672952
8,26.98066657
9,1108.5859804
10,808.45697828
11,90.13617486
12,52.72479873
13,46.14681973
14,67.47921317
15,53.16638644
16,22.71195103
17,7.85333705
18,6.43031446
19,1.92772508
20,7.50139994
21,10.71759276
22,5.33529189
23,0.72430478
24,0.37729717
25,0.09200884
26,0.12895498
27,0.55279895
28,0.1108808
29,0.0093295
30,0.00732406
31,0.00690246
32,0.00479291
33,0.00465054
34,0.00170309
35,0.01041747
36,0.00256108
37,0.0442668
38,0.00402652
39,0.00179193
40,0.00053257
41,0.0003461
42,0.0008603
43,0.0005329
44,0.00034535
45,0.00055917
46,0.00019887
47,0.0007584
48,0.00039938
49,0.00022489
50,5.201e-05
51,6.898e-05
52,0.00014704
53,5.785e-05
54,5.819e-05
55,7.073e-05
56,4.632e-05
57,0.00010523
58,6.787e-05
59,2.469e-05
60,8.17e-06
61,1.187e-05
62,1.683e-05
63,8.37e-06
64,8.63e-06
65,9.29e-06
66,8.61e-06
67,1.349e-05
68,1.057e-05
69,2.88e-06
70,1.54e-06
71,1.61e-06
72,3.05e-06
73,2.13e-06
74,2.35e-06
75,2.42e-06
76,1.68e-06
77,1.69e-06
78,1.47e-06
79,3.7e-07
80,3.9e-07
81,3.2e-07
82,4.8e-07
83,4.3e-07
84,2.7e-07
85,2.8e-07
86,2.9e-07
87,2.1e-07
88,1.4e-07
89,4e-08
90,5e-08
91,4e-08
92,8e-08
93,1.4e-07
94,4e-08
95,5e-08
96,7e-08
97,3e-08
98,1e-08
99,3e-09
1,0.00400189
2,1.95027378
3,0.28300128
4,0.01106018
5,0.00647366
6,0.00134613
7,0.00116881
8,0.00081105
9,0.00023388
10,0.00016818
11,0.0001408
12,0.00012984
13,0.03375098
14,0.00255645
15,0.00011145
16,2.846e-05
17,8.48e-05
18,4.215e-05
19,1.987e-05
20,1.044e-05
21,8.84e-06
22,5.82e-06
23,0.00013244
24,1.866e-05
25,0.00016618
26,2.3e-06
27,2.39e-06
28,1.25e-05
29,1.34e-06
30,2.34e-06
31,8.7e-07
32,6.9e-07
33,1.203e-05
34,1.441e-05
35,4.247e-05
36,5.5e-07
37,2.6e-07
38,5.6e-07
39,1e-07
40,1.5e-07
41,8e-08
42,6e-08
43,7.6e-07
44,9.8e-07
45,1.33e-06
46,6e-08
47,3e-08
48,6e-08
49,2e-08
50,2e-08
51,9.8e-09
1,0.01312276
2,7.95125447
3,0.7870819
4,0.07001951
5,0.02540441
6,0.00321113
7,0.00166658
8,0.00138859
9,0.00058395
10,0.00024673
11,0.00018531
12,0.00016576
13,0.01014188
14,0.00531791
15,0.00055757
16,0.00051807
17,9.068e-05
18,3.324e-05
19,2.283e-05
20,1.62e-05
21,1.514e-05
22,8.67e-06
23,1.959e-05
24,0.00062106
25,0.00027178
26,3.414e-05
27,1.295e-05
28,8.33e-06
29,2.73e-06
30,1.77e-06
31,1.7e-06
32,1.38e-06
33,2.29e-06
34,9.836e-05
35,3.603e-05
36,3.12e-06
37,1.6e-06
38,1.08e-06
39,5.4e-07
