step,total_force_ry_bohr
1,0.090277
2,0.066777
3,0.051643
4,0.051435
5,0.052362
6,0.04483
7,0.035597
8,0.031164
9,0.02967
10,0.02534
11,0.021548
12,0.021203
13,0.020119
14,0.018977
15,0.018751
16,0.020041
17,0.021405
18,0.022425
19,0.020804
20,0.01858
21,0.017534
22,0.017309
23,0.017534
24,0.016651
25,0.014157
26,0.01149
27,0.009874
28,0.008781
29,0.008201
30,0.007749
31,0.007628
32,0.007616
33,0.008036
34,0.0088
35,0.009644
36,0.009743
37,0.009088
38,0.008202
39,0.007451
40,0.006589
41,0.005742
42,0.005071
43,0.004439
44,0.003756
45,0.003329
