step,energy_ry
84,-7385.93968477
52,-7385.95119417
57,-7385.95974191
53,-7385.96258675
57,-7385.964976
52,-7385.96747403
58,-7385.96961473
57,-7385.97147804
59,-7385.97321484
57,-7385.97464778
56,-7385.9756611
49,-7385.97663341
59,-7385.97767111
52,-7385.97855753
51,-7385.9792244
56,-7385.97977296
52,-7385.98038511
52,-7385.98096242
51,-7385.98141907
50,-7385.98179534
57,-7385.98221189
58,-7385.98259457
51,-7385.98295708
58,-7385.9833402
54,-7385.98378538
53,-7385.98425733
58,-7385.98466872
52,-7385.98497365
52,-7385.98521854
52,-7385.98541242
53,-7385.9855605
50,-7385.98568818
56,-7385.9858211
55,-7385.98595028
55,-7385.98605791
52,-7385.98613677
52,-7385.98620361
52,-7385.98626907
50,-7385.98632764
49,-7385.98637407
46,-7385.98640759
48,-7385.98643411
47,-7385.98645719
45,-7385.98647768
48,-7385.98649632
43,-7385.98651374
