step,scf_accuracy_ry
1,58.31826344
2,496.28421569
3,55.95335006
4,87.14317149
5,35.3247529
6,41.73424187
7,81.81292135
8,12.91820546
9,6.09336852
10,145.22903012
11,29.98793114
12,23.42750259
13,0.76620255
14,3.91336723
15,5.94483108
16,2.10948151
17,1.40012747
18,0.22758856
19,0.82121503
20,0.05591787
21,0.02950613
22,0.01785946
23,0.00819094
24,0.0067434
25,0.0505508
26,0.01820338
27,0.01099377
28,0.01004911
29,0.00617209
30,0.00291021
31,0.00149106
32,0.00162068
33,0.00089377
34,0.00064498
35,0.01315582
36,0.00298205
37,0.00043902
38,0.00026196
39,0.00025805
40,0.00037113
41,0.00013649
42,8.945e-05
43,8.406e-05
44,6.133e-05
45,0.00109602
46,0.00024856
47,3.986e-05
48,3.294e-05
49,3.561e-05
50,6.87e-05
51,2.234e-05
52,1.321e-05
53,1.297e-05
54,4.52e-06
55,4.3e-06
56,1.198e-05
57,4.64e-06
58,4.53e-06
59,3.22e-06
60,3.92e-06
61,3.01e-06
62,2.03e-06
63,1.01e-06
64,8.7e-07
65,7.3e-07
66,2.482e-05
67,2.22e-06
68,1.19e-06
69,2.6e-07
70,1.3e-07
71,1.4e-07
72,1.7e-07
73,7e-08
74,5e-08
75,4e-08
76,4e-08
77,8e-07
78,4e-08
79,3e-08
80,2e-08
81,2e-08
82,5e-08
83,1e-08
84,9.6e-09
1,0.00594475
2,0.19681696
3,0.2467811
4,0.04502342
5,0.004633
6,0.00216776
7,0.0017639
8,0.00109868
9,0.00041409
10,0.00030558
11,0.0002169
12,0.00014666
13,0.0042428
14,0.00042638
15,0.00024604
16,9.875e-05
17,5.673e-05
18,2.984e-05
19,3.212e-05
20,1.721e-05
21,9.7e-06
22,6.15e-06
23,9.65e-06
24,0.00019251
25,4.207e-05
26,4.95e-06
27,4.59e-06
28,2.49e-06
29,4.45e-06
30,1.49e-06
31,6.5e-07
32,6e-07
33,6.1e-07
34,5.753e-05
35,9.5e-07
36,1.55e-06
37,1.8e-07
38,2.3e-07
39,1.4e-07
40,3.2e-07
41,8e-08
42,7e-08
43,6e-08
44,2.18e-06
45,1e-07
46,6e-08
47,4e-08
48,4e-08
49,4e-08
50,3e-08
51,2e-08
52,9.5e-09
1,0.01267487
2,0.30760442
3,0.77437134
4,0.13192635
5,0.01127554
6,0.00331615
7,0.00252734
8,0.00182932
9,0.00046008
10,0.0002973
11,0.00026239
12,0.00018868
13,0.01022863
14,0.0017245
15,0.00025654
16,0.00017608
17,3.989e-05
18,1.852e-05
19,1.572e-05
20,1.284e-05
21,1.082e-05
22,1.006e-05
23,4.438e-05
24,5.519e-05
25,4.317e-05
26,5.53e-06
27,4.5e-06
28,1.37e-06
29,1.1e-06
30,7.8e-07
31,6.8e-07
32,7.5e-07
33,2.21e-06
34,3.386e-05
35,8.06e-06
36,2.4e-07
37,2.2e-07
38,1.9e-07
39,1.7e-07
40,1.2e-07
41,9e-08
42,1.1e-07
43,9e-08
44,1.64e-06
45,1e-07
46,6e-08
47,3e-08
48,2e-08
49,5e-08
50,2e-08
51,1e-08
52,1e-08
53,2e-08
54,1.21e-06
55,1e-08
56,6.3e-09
57,3e-09
1,0.00685592
2,0.47389682
3,0.4219426
4,0.04368833
5,0.00396794
6,0.00116101
7,0.00086173
8,0.00061926
9,0.00020341
10,0.00013771
11,0.00012063
12,0.00016887
13,0.00466694
14,0.0011113
15,6.994e-05
16,5.336e-05
17,1.409e-05
18,1.232e-05
19,1.067e-05
20,1.005e-05
21,3.88e-06
22,2.58e-06
23,2.76e-06
24,0.00015331
25,2.59e-06
26,1.582e-05
27,4.64e-06
28,9.4e-07
29,4.7e-07
30,5.3e-07
31,2.9e-07
32,2.2e-07
33,1.9e-07
34,9.27e-06
35,2.5e-07
36,5.5e-07
37,1.5e-07
38,2.2e-07
39,7e-08
40,5e-08
41,3e-08
42,2e-08
43,2e-08
44,1.77e-06
45,1e-08
46,2e-08
47,1e-08
48,2e-08
49,8.4e-09
50,2.9e-09
51,2.3e-09
52,2e-09
53,1.4e-09
1,0.00928844
2,0.89635239
3,0.61028112
4,0.04320474
5,0.0039041
6,0.00104743
7,0.00072038
8,0.00055482
9,0.00021833
10,0.00013128
11,0.00011443
12,0.00019196
13,0.00441649
14,0.00113226
15,3.869e-05
16,4.41e-05
17,1.183e-05
18,8.5e-06
19,7.17e-06
20,5.66e-06
21,3.33e-06
22,3.74e-06
23,0.00016176
24,1.86e-06
25,4.57e-05
26,1.28e-06
27,2.02e-06
28,8.3e-07
29,7.8e-07
30,4.7e-07
31,2.7e-07
32,2.2e-07
33,6.16e-06
34,3.6e-07
35,2.87e-06
36,1.2e-07
37,8e-08
38,1e-07
39,4e-08
40,4e-08
41,2e-08
42,2e-08
43,7e-08
44,3e-08
45,7e-08
46,3e-08
47,1e-08
48,2e-08
49,8.9e-09
50,5e-09
51,3.3e-09
52,2.8e-09
53,2e-08
54,5.6e-09
55,2.8e-09
56,3e-08
57,7.7e-10
1,0.01448912
2,2.37314673
3,0.81682101
4,0.04106355
5,0.00456862
6,0.00125145
7,0.000832
8,0.00065065
9,0.00025357
10,0.00015336
11,0.00012368
12,0.00013299
13,0.00603496
14,0.00034377
15,7.429e-05
16,2.288e-05
17,3.51e-05
18,9.25e-06
19,9.93e-06
20,6.82e-06
21,4.6e-06
22,3.52e-06
23,0.00016696
24,2.297e-05
25,8.54e-06
26,1.73e-06
27,3.16e-06
28,1.47e-06
29,1.1e-06
30,1.31e-06
31,5.7e-07
32,4.3e-07
33,2.068e-05
34,4.1e-06
35,9.2e-07
36,1.4e-07
37,1e-07
38,1.8e-07
39,7e-08
40,3e-08
41,3e-08
42,3e-08
43,2e-08
44,7.9e-07
45,7e-08
46,3e-08
47,8.9e-09
48,2e-08
49,7.5e-09
50,5e-09
51,3.7e-09
52,1.9e-09
1,0.01545896
2,4.07509766
3,0.65422799
4,0.02473729
5,0.00350231
6,0.00100361
7,0.00073655
8,0.00047057
9,0.00019219
10,0.00014339
11,0.00010263
12,4.889e-05
13,0.0005268
14,0.00011136
15,0.00029682
16,8.312e-05
17,0.00011519
18,7.83e-06
19,6.82e-06
20,6.25e-06
21,5.18e-06
22,2.29e-06
23,1.151e-05
24,2.395e-05
