step,total_force_ry_bohr
1,0.132432
2,0.083651
3,0.049269
4,0.043163
5,0.039594
6,0.036393
7,0.03437
8,0.034691
9,0.034969
10,0.029168
11,0.023731
12,0.023643
13,0.023693
14,0.022285
15,0.019656
16,0.019568
17,0.019093
18,0.016866
19,0.015522
20,0.014901
21,0.014685
22,0.014309
23,0.014282
24,0.01528
25,0.01624
26,0.015672
27,0.013831
28,0.012148
29,0.010827
30,0.009451
31,0.008519
32,0.008457
33,0.008594
34,0.008047
35,0.006957
36,0.006218
37,0.005988
38,0.005831
39,0.005294
40,0.004586
41,0.004008
42,0.003632
43,0.003419
44,0.003271
45,0.003145
46,0.003082
