step,total_magnetization_bohr_cell
1,90.02
2,90.43
3,90.02
4,90.01
5,90.01
6,90.0
7,89.55
8,83.76
9,79.31
10,75.67
11,70.23
12,68.4
13,67.53
14,67.55
15,67.78
16,67.47
17,67.01
18,66.3
19,65.95
20,66.27
21,66.02
22,65.78
23,65.27
24,65.18
25,65.19
26,65.18
27,65.2
28,65.25
29,65.36
30,65.33
31,65.33
32,65.34
33,65.33
34,65.35
35,65.35
36,65.36
37,65.38
38,65.38
39,65.38
40,65.38
41,65.37
42,65.37
43,65.37
44,65.36
45,65.35
46,65.35
47,65.35
48,65.34
49,65.34
50,65.33
51,65.32
52,65.31
53,65.31
54,65.3
55,65.3
56,65.3
57,65.3
58,65.3
59,65.3
60,65.29
61,65.29
62,65.29
63,65.29
64,65.29
65,65.29
66,65.29
67,65.29
68,65.29
69,65.29
70,65.29
71,65.29
72,65.29
73,65.29
74,65.29
75,65.29
76,65.29
77,65.29
78,65.29
79,65.29
80,65.29
81,65.29
82,65.29
83,65.29
84,65.29
1,65.32
2,65.35
3,65.32
4,65.3
5,65.31
6,65.31
7,65.31
8,65.29
9,65.28
10,65.28
11,65.29
12,65.3
13,65.3
14,65.31
15,65.31
16,65.3
17,65.3
18,65.3
19,65.3
20,65.3
21,65.3
22,65.3
23,65.3
24,65.3
25,65.3
26,65.3
27,65.3
28,65.3
29,65.3
30,65.3
31,65.3
32,65.3
33,65.3
34,65.3
35,65.3
36,65.3
37,65.3
38,65.3
39,65.3
40,65.3
41,65.3
42,65.3
43,65.3
44,65.3
45,65.3
46,65.3
47,65.3
48,65.3
49,65.3
50,65.3
51,65.3
52,65.3
1,65.32
2,65.36
3,65.32
4,65.29
5,65.32
6,65.32
7,65.32
8,65.31
9,65.3
10,65.3
11,65.3
12,65.31
13,65.32
14,65.32
15,65.32
16,65.32
17,65.31
18,65.31
19,65.31
20,65.31
21,65.31
22,65.31
23,65.31
24,65.31
25,65.31
26,65.31
27,65.31
28,65.31
29,65.31
30,65.31
31,65.31
32,65.31
33,65.31
34,65.31
35,65.31
36,65.31
37,65.31
38,65.31
39,65.31
40,65.31
41,65.31
42,65.31
43,65.31
44,65.31
45,65.31
46,65.31
47,65.31
48,65.31
49,65.31
50,65.31
51,65.31
52,65.31
53,65.31
54,65.31
55,65.31
56,65.31
57,65.31
1,65.3
2,65.35
3,65.32
4,65.29
5,65.31
6,65.31
7,65.31
8,65.31
9,65.31
10,65.31
11,65.31
12,65.31
13,65.3
14,65.3
15,65.3
16,65.3
17,65.31
18,65.31
19,65.31
20,65.31
21,65.31
22,65.31
23,65.31
24,65.31
25,65.31
26,65.31
27,65.31
28,65.31
29,65.31
30,65.31
31,65.31
32,65.31
33,65.31
34,65.31
35,65.31
36,65.31
37,65.31
38,65.31
39,65.31
40,65.31
41,65.31
42,65.31
43,65.31
44,65.31
45,65.31
46,65.31
47,65.31
48,65.31
49,65.31
50,65.31
51,65.31
52,65.31
53,65.31
1,65.29
2,65.35
3,65.31
4,65.28
5,65.3
6,65.29
7,65.29
8,65.29
9,65.29
10,65.29
11,65.29
12,65.29
13,65.29
14,65.28
15,65.28
16,65.29
17,65.29
18,65.29
19,65.29
20,65.29
21,65.29
22,65.29
23,65.29
24,65.29
25,65.29
26,65.29
27,65.29
28,65.29
29,65.29
30,65.29
31,65.29
32,65.29
33,65.29
34,65.29
35,65.29
36,65.29
37,65.29
38,65.29
39,65.29
40,65.29
41,65.29
42,65.29
43,65.29
44,65.29
45,65.29
46,65.29
47,65.29
48,65.29
49,65.29
50,65.29
51,65.29
52,65.29
53,65.29
54,65.29
55,65.29
56,65.29
57,65.29
1,65.24
