step,energy_ry
1,-7385.93968477
2,-7385.95119417
3,-7385.95974191
4,-7385.96258675
5,-7385.964976
6,-7385.96747403
7,-7385.96961473
8,-7385.97147804
9,-7385.97321484
10,-7385.97464778
11,-7385.9756611
12,-7385.97663341
13,-7385.97767111
14,-7385.97855753
15,-7385.9792244
16,-7385.97977296
17,-7385.98038511
18,-7385.98096242
19,-7385.98141907
20,-7385.98179534
21,-7385.98221189
22,-7385.98259457
23,-7385.98295708
24,-7385.9833402
25,-7385.98378538
26,-7385.98425733
27,-7385.98466872
28,-7385.98497365
29,-7385.98521854
30,-7385.98541242
31,-7385.9855605
32,-7385.98568818
33,-7385.9858211
34,-7385.98595028
35,-7385.98605791
36,-7385.98613677
37,-7385.98620361
38,-7385.98626907
39,-7385.98632764
40,-7385.98637407
41,-7385.98640759
42,-7385.98643411
43,-7385.98645719
44,-7385.98647768
45,-7385.98649632
46,-7385.98651374
