step,energy_ry
22,-8461.76931019
12,-8461.77012135
13,-8461.77138839
13,-8461.77241904
14,-8461.77357829
15,-8461.77438808
14,-8461.77498956
14,-8461.77576932
14,-8461.77691131
15,-8461.77829132
16,-8461.77944832
15,-8461.78046908
14,-8461.78172326
15,-8461.78357204
16,-8461.78579678
14,-8461.78797721
15,-8461.79077966
15,-8461.79339043
15,-8461.79773547
15,-8461.80078979
15,-8461.80330099
16,-8461.80487947
14,-8461.80722995
13,-8461.80831346
14,-8461.80881875
14,-8461.8091436
15,-8461.80954481
15,-8461.81000839
14,-8461.8103204
13,-8461.81049124
14,-8461.81061037
14,-8461.81075629
16,-8461.81093546
16,-8461.81116052
17,-8461.81141965
18,-8461.81169921
17,-8461.81197004
18,-8461.81234378
18,-8461.81296498
19,-8461.8138714
19,-8461.81485846
13,-8461.81597356
13,-8461.81709474
15,-8461.81856876
15,-8461.82065818
15,-8461.82321683
16,-8461.82532075
