step,gradient_error_ry_bohr
22,0.024
12,0.031
13,0.019
13,0.014
14,0.0071
15,0.011
14,0.013
14,0.013
14,0.0098
15,0.0092
16,0.012
15,0.015
14,0.018
15,0.021
16,0.028
14,0.037
15,0.027
15,0.028
15,0.023
15,0.027
15,0.021
16,0.045
14,0.018
13,0.0074
14,0.0056
14,0.0094
15,0.011
15,0.01
14,0.0058
13,0.0033
14,0.0053
14,0.0047
16,0.0047
16,0.004
17,0.0036
18,0.0068
17,0.009
18,0.011
18,0.012
19,0.013
19,0.014
13,0.012
13,0.012
15,0.017
15,0.031
15,0.026
16,0.03
18,0.097
17,0.011
18,0.016
15,0.0088
16,0.013
14,0.0076
15,0.006
16,0.0061
13,0.0059
13,0.0049
15,0.0038
15,0.0063
15,0.01
14,0.0042
14,0.003
14,0.0032
13,0.0032
14,0.0026
16,0.003
15,0.0032
15,0.0034
15,0.0033
13,0.0031
14,0.0028
13,0.0025
13,0.0023
14,0.0022
16,0.0024
15,0.0019
15,0.0018
15,0.0017
15,0.0022
14,0.0025
14,0.0019
14,0.0012
14,0.0011
15,0.0036
16,0.0023
