step,scf_accuracy_ry
1,2.16487272
2,1.46121213
3,0.42896216
4,0.18079444
5,0.07833244
6,0.04178414
7,0.02442789
8,0.02124899
9,0.00829775
10,0.00344447
11,0.00166452
12,0.0006033
13,0.00021531
14,0.00010744
15,3.849e-05
16,3.301e-05
17,6.87e-06
18,2.72e-06
19,1.71e-06
20,9.1e-07
21,6.2e-07
22,1.4e-07
1,0.00202763
2,0.00098633
3,0.00015906
4,9.74e-05
5,4.642e-05
6,2.924e-05
7,1.087e-05
8,4.29e-06
9,2.1e-06
10,1.66e-06
11,7.4e-07
12,1.2e-07
1,0.00024212
2,9.613e-05
3,5.647e-05
4,2.404e-05
5,8.67e-06
6,4.05e-06
7,1.79e-06
8,1.07e-06
9,2.6e-07
10,1e-07
11,8e-08
12,3e-08
13,2e-08
1,0.00016877
2,7.042e-05
3,5.148e-05
4,1.898e-05
5,6.19e-06
6,4.1e-06
7,1.68e-06
8,8.2e-07
9,2.8e-07
10,1.7e-07
11,8e-08
12,4e-08
13,1e-08
1,0.00045714
2,0.00019261
3,0.00014518
4,5.277e-05
5,1.671e-05
6,9.5e-06
7,3.1e-06
8,1.68e-06
9,5.8e-07
10,4.3e-07
11,1.9e-07
12,1.4e-07
13,3e-08
14,2e-08
1,0.00069616
2,0.00030167
3,0.00023098
4,9.114e-05
5,2.736e-05
6,1.592e-05
7,4.8e-06
8,2.9e-06
9,9.1e-07
10,7.3e-07
11,3.6e-07
12,1.6e-07
13,3e-08
14,2e-08
15,8.6e-09
1,0.00029099
2,0.00014193
3,0.00011232
4,4.614e-05
5,1.717e-05
6,1.006e-05
7,2.35e-06
8,1.7e-06
9,6.5e-07
10,2.6e-07
11,1.6e-07
12,3e-08
13,2e-08
14,6e-09
1,0.00030593
2,0.00015901
3,0.00012643
4,5.478e-05
5,1.157e-05
6,6.89e-06
7,2.55e-06
8,2.1e-06
9,6.5e-07
10,2.4e-07
11,1.1e-07
12,3e-08
13,2e-08
14,4.7e-09
1,0.00054852
2,0.00032274
3,0.00025588
4,0.00010688
5,2.552e-05
6,1.737e-05
7,5.51e-06
8,5.02e-06
9,1.83e-06
10,8.6e-07
11,2e-07
12,7e-08
13,4e-08
14,1e-08
1,0.00110427
2,0.00069478
3,0.00054548
4,0.00023493
5,5.244e-05
6,4.257e-05
7,1.605e-05
8,2.075e-05
9,9.62e-06
10,1.83e-06
11,9.9e-07
12,6.4e-07
13,2.9e-07
14,6e-08
15,2e-08
1,0.00130883
2,0.00093884
3,0.00074403
4,0.00029397
5,7.713e-05
6,4.359e-05
7,1.619e-05
8,5.59e-06
9,3.57e-06
10,1.46e-06
11,5.1e-07
12,2.1e-07
13,7e-08
14,3e-08
15,2e-08
16,1e-08
1,0.00060893
2,0.00048335
3,0.00033175
4,0.00013134
5,2.674e-05
6,1.929e-05
7,6.43e-06
8,3.65e-06
9,1.25e-06
10,8.4e-07
11,3.9e-07
12,8e-08
13,5e-08
14,2e-08
15,1e-08
1,0.00066992
2,0.00053492
3,0.00033356
4,0.00014487
5,2.698e-05
6,2.497e-05
7,8.61e-06
8,5.5e-06
9,1.68e-06
10,6e-07
11,4.1e-07
12,9e-08
13,5e-08
14,1e-08
1,0.00156309
2,0.00117577
3,0.00078917
4,0.00039114
5,8.539e-05
6,5.924e-05
7,2.888e-05
8,1.27e-05
9,5.57e-06
10,1.59e-06
11,6e-07
12,3.1e-07
13,1e-07
14,3e-08
15,2e-08
1,0.00390982
2,0.00276258
3,0.00164823
4,0.00106342
5,0.00021374
6,0.00011349
7,4.779e-05
8,3.191e-05
9,8.58e-06
10,7.07e-06
11,1.59e-06
12,1.02e-06
13,5.1e-07
14,1.6e-07
15,5e-08
16,3e-08
1,0.00172728
2,0.00130024
3,0.00065278
4,0.00046098
5,9.672e-05
6,5.244e-05
7,2.242e-05
8,1.342e-05
9,4.26e-06
10,5.91e-06
11,8e-07
12,7.1e-07
13,1.5e-07
14,4e-08
1,0.00156428
2,0.00086494
3,0.00064305
4,0.00028051
5,9.258e-05
6,3.407e-05
7,1.954e-05
8,9.74e-06
9,4.45e-06
10,2.85e-06
11,1.56e-06
12,3.9e-07
13,1.8e-07
14,1e-07
15,2e-08
1,0.00193201
2,0.00128561
3,0.00054227
4,0.00039653
5,9.47e-05
6,3.947e-05
7,2.005e-05
8,1.346e-05
9,4.41e-06
10,2.62e-06
11,1.09e-06
12,4.7e-07
13,2.5e-07
14,6e-08
15,3e-08
1,0.00183829
2,0.00128288
3,0.0008768
4,0.00041614
5,0.00012931
6,5.843e-05
7,2.941e-05
8,1.061e-05
9,6.93e-06
10,2.92e-06
11,2.3e-06
12,4.4e-07
13,3.5e-07
14,6e-08
15,3e-08
1,0.00233423
2,0.00115979
3,0.00076262
4,0.00040513
5,0.00017021
6,6.333e-05
7,2.35e-05
8,1.562e-05
9,5.03e-06
10,3.15e-06
11,1.14e-06
12,5.6e-07
13,3.4e-07
14,6e-08
15,3e-08
1,0.00111116
2,0.00060807
3,0.00050088
4,0.00019254
5,9.139e-05
6,3.722e-05
7,1.501e-05
8,1.018e-05
9,3.3e-06
10,2.11e-06
11,5.7e-07
12,3.4e-07
13,1.5e-07
14,7e-08
15,2e-08
1,0.00514054
2,0.00301183
3,0.00151895
4,0.0008374
5,0.00025772
6,0.00011012
7,4.338e-05
8,3.052e-05
9,1.056e-05
10,4.22e-06
11,3.31e-06
12,7.6e-07
13,3e-07
14,8e-08
15,5e-08
16,2e-08
1,0.00095115
2,0.00050505
3,0.00024529
4,9.44e-05
5,5.942e-05
6,2.619e-05
7,1.183e-05
8,8.53e-06
9,2.54e-06
10,9.8e-07
11,4.2e-07
12,2.5e-07
13,1.1e-07
14,2e-08
1,0.00046173
2,0.000319
3,0.00024962
4,8.875e-05
5,2.042e-05
6,1.039e-05
7,4.07e-06
8,1.89e-06
9,1.13e-06
10,4.4e-07
11,2.2e-07
12,5e-08
13,3e-08
1,0.00030704
2,0.00024555
3,0.00011887
4,6.622e-05
5,1.754e-05
6,9.44e-06
7,4.86e-06
8,2.52e-06
9,1.05e-06
10,6.3e-07
11,2.5e-07
12,6e-08
13,3e-08
14,7.2e-09
1,0.00013658
2,0.000107
3,5.826e-05
4,3.132e-05
5,1.204e-05
6,4.92e-06
7,2.27e-06
8,1.01e-06
9,5.4e-07
10,1.9e-07
11,1.4e-07
12,3e-08
13,4e-08
14,5.9e-09
1,0.00022665
2,0.00017699
3,7.611e-05
4,4.577e-05
5,1.185e-05
6,6.05e-06
7,3.75e-06
8,1.71e-06
9,5.7e-07
10,3.1e-07
11,1.2e-07
12,5e-08
13,2e-08
14,8.5e-09
15,4.1e-09
1,0.00030708
2,0.0002392
3,0.00012379
4,6.846e-05
5,2.04e-05
6,1.092e-05
7,4.87e-06
8,1.68e-06
9,9.2e-07
10,3.8e-07
11,1.8e-07
12,5e-08
13,4e-08
14,9e-09
15,6.3e-09
1,0.00024431
2,0.00018901
3,8.459e-05
4,4.632e-05
5,1.293e-05
6,6.74e-06
7,3.52e-06
8,1.26e-06
9,6.6e-07
10,3.1e-07
11,1e-07
12,4e-08
13,1e-08
14,5.1e-09
1,8.478e-05
2,6.87e-05
3,4.938e-05
4,8.62e-06
5,3.71e-06
6,2.03e-06
7,9e-07
8,4.9e-07
9,3.4e-07
10,7e-08
11,6e-08
12,1e-08
13,4.5e-09
1,7.096e-05
2,5.589e-05
3,2.232e-05
4,6.73e-06
5,2.62e-06
6,1.28e-06
7,9e-07
8,3.5e-07
9,1.6e-07
10,8e-08
11,4e-08
12,9.9e-09
13,6e-09
14,1.5e-09
1,8.031e-05
2,6.752e-05
3,2.712e-05
4,9.08e-06
5,2.96e-06
6,1.59e-06
7,1.01e-06
8,3e-07
9,1.7e-07
10,5e-08
11,3e-08
12,1e-08
13,4.5e-09
14,2e-09
1,0.00017727
2,0.00014893
3,5.178e-05
4,1.812e-05
5,7.66e-06
6,4.74e-06
7,2.56e-06
8,8.4e-07
9,3.9e-07
10,1.3e-07
11,3e-08
12,2e-08
13,7.7e-09
14,4.4e-09
15,3.1e-09
16,1.9e-09
1,0.00035634
2,0.00030227
3,0.00010049
4,3.904e-05
5,1.387e-05
6,6.78e-06
7,4.69e-06
8,1.8e-06
9,1.23e-06
10,2.8e-07
11,1.1e-07
12,5e-08
13,3e-08
14,8.8e-09
15,5.9e-09
16,2.2e-09
1,0.00079571
2,0.00067399
3,0.00031012
4,0.00012192
5,4.363e-05
6,2.601e-05
7,1.718e-05
8,5.26e-06
9,3.37e-06
10,8e-07
11,4.3e-07
12,1.8e-07
13,1.4e-07
14,3e-08
15,2e-08
16,1e-08
17,3.7e-09
1,0.00175028
2,0.00149374
3,0.00092571
4,0.00027855
5,0.00010813
6,5.131e-05
7,3.143e-05
8,1.401e-05
9,5.36e-06
10,1.48e-06
11,8.9e-07
12,3.3e-07
13,1.6e-07
14,5e-08
15,3e-08
16,1e-08
17,6.6e-09
18,2.4e-09
1,0.0014792
2,0.0012296
3,0.00083398
4,0.00023017
5,8.418e-05
6,4.308e-05
7,2.117e-05
8,1.356e-05
9,3.68e-06
10,2.18e-06
