step,total_force_ry_bohr
22,0.043572
12,0.044497
13,0.028523
13,0.021188
14,0.016409
15,0.021913
14,0.024988
14,0.025614
14,0.024236
15,0.022638
16,0.025666
15,0.029319
14,0.032975
15,0.038744
16,0.053021
14,0.057088
15,0.045078
15,0.045714
15,0.043217
15,0.047432
15,0.04315
16,0.070658
14,0.029776
13,0.015262
14,0.013384
14,0.014514
15,0.014651
15,0.013679
14,0.00995
13,0.008298
14,0.009114
14,0.009014
16,0.009248
16,0.009286
17,0.010671
18,0.014428
17,0.017307
18,0.019566
18,0.022084
19,0.02519
19,0.029701
13,0.028885
13,0.029724
15,0.036939
15,0.053284
15,0.046256
16,0.048988
18,0.153825
17,0.02869
18,0.033502
15,0.026918
16,0.029225
14,0.020629
15,0.01874
16,0.018409
13,0.017197
13,0.01443
15,0.012057
15,0.013525
15,0.01891
14,0.0115
14,0.009142
14,0.008608
13,0.008476
14,0.008472
16,0.008759
15,0.008481
15,0.007521
15,0.006937
13,0.006998
14,0.007181
13,0.007034
13,0.00678
14,0.00668
16,0.007149
15,0.007471
15,0.007176
15,0.006628
15,0.006375
14,0.00631
14,0.005915
14,0.005061
14,0.004599
