step,scf_accuracy_ry
1,0.12006725
2,0.10105444
3,0.05745348
4,0.01119368
5,0.01749835
6,0.04134271
7,0.07253641
8,0.09182631
9,0.1490661
10,0.65443749
11,0.64305457
12,0.36499736
13,0.37400908
14,0.03289398
15,0.01877494
16,0.02625258
17,0.0210963
18,0.02243311
19,0.01245385
20,0.02210706
21,0.01169473
22,0.01041506
23,0.00762054
24,0.00755512
25,0.00643764
26,0.00556027
27,0.00645561
28,0.00283081
29,0.00141318
30,0.00097848
31,0.0007633
32,0.00060041
33,8.217e-05
34,0.00034537
35,0.00134827
36,0.00133606
37,0.00092108
38,0.00140882
39,0.00052275
40,0.00012552
41,8.87e-06
42,2.43e-06
43,1.55e-06
44,1.41e-06
45,2.01e-06
46,1.73e-06
47,3.3e-07
48,3.7e-07
49,1.4e-07
