step,scf_accuracy_ry
1,15.86403809
2,57.63162781
3,12.87770871
4,83.56445084
5,6.70606475
6,3.58491615
7,1.37305458
8,2.44979768
9,0.92869648
10,0.1768363
11,0.22532511
12,0.0411991
13,0.02275465
14,0.12286089
15,0.07903596
16,0.00837237
17,0.00399468
18,0.00347702
19,0.00402902
20,0.00294786
21,0.00089317
22,0.00072473
23,0.00085055
24,0.00054204
25,0.00221291
26,0.0002101
27,0.00016685
28,0.0001108
29,8.505e-05
30,5.582e-05
31,2.778e-05
32,3.045e-05
33,1.522e-05
34,1.565e-05
35,8.914e-05
36,3.998e-05
37,9.43e-06
38,8.63e-06
39,6.51e-06
40,7.21e-06
41,5.58e-06
42,4.39e-06
43,6.78e-06
44,3.21e-06
45,2.23e-06
46,5.011e-05
47,1.89e-06
48,1.11e-06
