step,total_magnetization_bohr_cell
1,50.1
2,50.28
3,49.48
4,48.6
5,40.93
6,38.15
7,35.14
8,26.27
9,23.99
10,21.97
11,22.54
12,20.41
13,20.94
14,21.06
15,21.07
16,21.3
17,21.41
18,21.36
19,21.35
20,21.31
21,21.29
22,21.26
23,21.26
24,21.25
25,21.25
26,21.26
27,21.27
28,21.32
29,21.33
30,21.34
31,21.35
32,21.36
33,21.37
34,21.37
35,21.37
36,21.37
37,21.37
38,21.37
39,21.37
40,21.37
41,21.37
42,21.37
43,21.36
44,21.36
45,21.36
46,21.36
47,21.36
48,21.36
49,21.36
50,21.36
51,21.36
52,21.36
53,21.36
