step,gradient_error_ry_bohr
43,0.02
12,0.039
17,0.0068
35,0.0039
20,0.0042
23,0.0025
16,0.0018
17,0.0024
13,0.0035
21,0.0042
17,0.0043
33,0.0032
19,0.0019
20,0.0018
22,0.002
29,0.003
30,0.0029
30,0.002
26,0.0027
30,0.0032
20,0.0026
22,0.0024
32,0.0021
32,0.0021
24,0.0016
24,0.0018
25,0.0011
20,0.0012
23,0.001
15,0.00085
17,0.00082
21,0.001
18,0.0012
20,0.0011
18,0.0009
23,0.00092
15,0.00075
19,0.00096
25,0.0012
30,0.0012
22,0.0011
30,0.0013
25,0.0011
22,0.0011
30,0.001
28,0.00089
24,0.00073
28,0.00077
21,0.00076
31,0.0007
20,0.00071
21,0.00085
24,0.00061
17,0.00056
22,0.00047
14,0.00054
26,0.00056
18,0.00054
14,0.00057
22,0.00053
18,0.00047
22,0.00046
20,0.00043
16,0.00044
15,0.00064
15,0.00054
16,0.00049
25,0.00036
26,0.00032
10,0.00029
20,0.00032
14,0.00025
15,0.00023
13,0.00021
