step,total_force_ry_bohr
43,0.037608
12,0.072687
17,0.011934
35,0.008109
20,0.007078
23,0.006669
16,0.005608
17,0.006478
13,0.007334
21,0.007947
17,0.007944
33,0.007142
19,0.005971
20,0.005363
22,0.005983
29,0.007608
30,0.007559
30,0.006523
26,0.007564
30,0.007624
20,0.007725
22,0.006331
32,0.006142
32,0.00617
24,0.005307
24,0.004606
25,0.003275
20,0.003263
23,0.003148
15,0.002952
17,0.003004
21,0.003016
18,0.002868
20,0.002999
18,0.002598
23,0.00277
15,0.002763
19,0.002881
25,0.003328
30,0.003385
22,0.003413
30,0.003374
25,0.003442
22,0.003132
30,0.002875
28,0.002536
24,0.002736
28,0.002728
21,0.002601
31,0.002559
20,0.002549
21,0.002466
24,0.002057
17,0.001804
