atom,element,valence_electron,bader_charge,delta_q
1,O,6,7.768056,-1.7680559999999996
2,H,1,0.938385,0.061614999999999975
3,C,4,2.358952,1.641048
4,H,1,0.262086,0.737914
5,O,6,7.571606,-1.571606
6,C,4,3.192978,0.8070219999999999
7,H,1,0.927664,0.07233599999999996
8,O,6,7.50067,-1.5006700000000004
9,C,4,3.290707,0.7092930000000002
10,H,1,0.92025,0.07974999999999999
11,H,1,0.272627,0.727373
12,H,1,1.005191,-0.005190999999999946
13,C,4,3.191476,0.8085239999999998
14,O,6,7.79115,-1.79115
15,O,6,7.699159,-1.6991589999999999
16,C,4,3.326951,0.6730489999999998
17,H,1,0.000311,0.999689
18,H,1,0.976415,0.023584999999999967
19,H,1,0.000357,0.999643
20,H,1,0.908421,0.09157899999999997
21,C,4,3.403152,0.596848
22,O,6,7.446991,-1.4469909999999997
23,H,1,0.970847,0.029152999999999984
24,H,1,0.275818,0.724182
