step,conv_thr_ry
38,1e-08
22,4.2e-09
15,9e-10
18,7e-10
17,3e-10
15,2e-10
20,2e-10
16,2e-10
18,2e-10
18,2e-10
20,2e-10
17,3e-10
18,3e-10
20,2e-10
22,2e-10
17,1e-10
23,2e-10
27,2e-10
17,2e-10
22,1e-10
19,1e-10
22,1e-10
16,1e-10
20,1e-10
20,1e-10
15,1e-10
15,1e-10
16,1e-10
19,1e-10
20,1e-10
20,1e-10
18,1e-10
22,1e-10
22,1e-10
23,1e-10
20,1e-10
27,1e-10
15,1e-10
21,1e-10
15,1e-10
22,1e-10
17,1e-10
21,1e-10
19,1e-10
18,1e-10
27,1e-10
15,1e-10
20,1e-10
15,1e-10
23,1e-10
15,1e-10
20,1e-10
14,1e-10
14,1e-10
18,1e-10
14,1e-10
16,1e-10
22,1e-10
20,1e-10
19,1e-10
17,1e-10
20,1e-10
25,1e-10
15,1e-10
23,1e-10
15,1e-10
14,1e-10
20,1e-10
