step,energy_ry
1,-142.53782084
2,-142.55186217
3,-142.55275873
4,-142.55346388
5,-142.55379159
6,-142.55398143
7,-142.55416674
8,-142.55439682
9,-142.55464081
10,-142.55485682
11,-142.55502497
12,-142.55529504
13,-142.55562165
14,-142.55584809
15,-142.55606031
16,-142.55620425
17,-142.55636451
18,-142.55652067
19,-142.55668625
20,-142.55677644
21,-142.55682602
22,-142.55686177
23,-142.55689804
24,-142.55692501
25,-142.55694555
26,-142.55696527
27,-142.55698529
28,-142.55701281
29,-142.55704971
30,-142.55709659
31,-142.55715685
32,-142.557221
33,-142.55730421
34,-142.55736377
35,-142.55739228
36,-142.55738285
37,-142.55740547
38,-142.55742311
39,-142.55744177
40,-142.55746068
41,-142.55747879
42,-142.55749788
43,-142.55751783
44,-142.55753996
45,-142.55755883
46,-142.5575835
47,-142.5576044
48,-142.55762453
49,-142.55763827
50,-142.5576453
51,-142.55765104
52,-142.55765519
53,-142.55765997
54,-142.55766654
55,-142.55767301
56,-142.55767751
57,-142.5576825
58,-142.55768715
59,-142.55769196
60,-142.5576972
61,-142.55770363
62,-142.55771115
63,-142.55771896
64,-142.55772593
65,-142.55773215
66,-142.55773871
67,-142.55774643
68,-142.55775229
69,-142.55775591
