step,scf_accuracy_ry
1,1.16888015
2,0.85915504
3,0.87891865
4,0.49682986
5,0.1064948
6,0.0783813
7,0.01250106
8,0.00827952
9,0.00916862
10,0.01031181
11,0.00388444
12,0.84769404
13,0.32708896
14,0.00540469
15,0.00217938
16,0.00079695
17,0.00056885
18,0.00071533
19,0.0004389
20,0.00026797
21,0.00031847
22,0.00049459
23,0.00010513
24,0.0003833
25,6.929e-05
26,3.124e-05
27,8.793e-05
28,4.43e-06
29,6.94e-06
30,1.04e-06
31,2.96e-06
32,9.3e-07
33,3.6e-07
34,1e-07
35,2e-08
36,2e-08
37,1e-08
38,6.8e-09
1,0.048549
2,0.00691469
3,0.0018688
4,0.0010113
5,0.00035975
6,0.00019534
7,0.0001211
8,1.389e-05
9,2.314e-05
10,1.863e-05
11,1.59e-06
12,2.16e-06
13,2.22e-06
14,1.21e-06
15,2.9e-07
16,2.9e-07
17,3.7e-07
18,2.8e-07
19,9e-08
20,3e-08
21,1e-08
22,3.7e-09
1,0.00299364
2,0.00063169
3,0.00014521
4,2.449e-05
5,1.248e-05
6,3e-06
7,1.74e-06
8,1.42e-06
9,3.5e-07
10,7e-08
11,5e-08
12,8e-08
13,1e-08
14,9e-09
15,2.8e-09
1,0.00406475
2,0.00099417
3,0.0002227
4,4.067e-05
5,2.013e-05
6,5.78e-06
7,1.53e-06
8,1.08e-06
9,3.9e-07
10,1.5e-07
11,1.2e-07
12,2e-08
13,2e-08
14,6.8e-09
15,9.7e-09
16,2.4e-09
17,9.2e-10
18,5.6e-10
1,0.00169622
2,0.00036492
3,0.00010436
4,2.46e-05
5,9.63e-06
6,4.41e-06
7,1.07e-06
8,8.8e-07
9,7.2e-07
10,1e-07
11,1.1e-07
12,9e-08
13,3.5e-09
14,5.3e-09
15,4.4e-09
16,6.4e-09
17,3.5e-10
1,4.786e-05
2,3.286e-05
3,1.437e-05
4,2.8e-06
5,1.27e-06
6,2.1e-07
7,1.6e-07
8,9e-08
9,1e-08
10,1e-08
11,1e-08
12,9.9e-10
13,9.6e-10
14,8.7e-10
15,2e-10
1,5.573e-05
2,2.695e-05
3,1.562e-05
4,1.97e-06
5,1.16e-06
6,8.7e-07
7,1.4e-07
8,8e-08
9,9e-08
10,6e-08
11,7e-08
12,6e-08
13,2e-08
14,1e-08
15,7.7e-09
16,2.2e-09
17,1.2e-09
18,2.9e-10
19,2.1e-10
20,4.3e-11
1,0.00013905
2,6.004e-05
3,3.192e-05
4,5.85e-06
5,2.05e-06
6,7.8e-07
7,2.5e-07
8,1.2e-07
9,5e-08
10,2e-08
11,4.2e-09
12,1.3e-09
13,1.4e-09
14,9.3e-10
15,3.5e-10
16,1.5e-10
1,0.00028563
2,0.00011831
3,6.191e-05
4,1.178e-05
5,6.59e-06
6,3.72e-06
7,5.2e-07
8,4.3e-07
9,3.3e-07
10,4e-08
11,3e-08
12,1e-08
13,5.3e-09
14,3.4e-09
15,4.1e-10
16,5.2e-10
17,3.2e-10
18,5e-11
1,0.000376
2,0.00021378
3,0.00010951
4,1.564e-05
5,1.439e-05
6,1.071e-05
7,1.53e-06
