step,total_force_ry_bohr
1,0.159054
2,0.035312
3,0.021927
4,0.018982
5,0.01516
6,0.011567
7,0.010298
8,0.010122
9,0.010483
10,0.012841
11,0.012275
12,0.011881
13,0.013086
14,0.012323
15,0.009953
16,0.01114
17,0.010442
18,0.011096
19,0.007992
20,0.005681
21,0.005121
22,0.004693
23,0.004322
24,0.003576
25,0.003392
26,0.00385
27,0.004083
28,0.004449
29,0.004847
30,0.005681
31,0.007328
32,0.007346
33,0.006741
34,0.00482
35,0.005533
36,0.010368
37,0.004064
38,0.004521
39,0.003603
40,0.003115
41,0.003277
42,0.003338
43,0.003422
44,0.004525
45,0.0043
46,0.004623
47,0.003826
48,0.002693
49,0.002278
50,0.002058
51,0.001751
52,0.001659
53,0.001662
54,0.001694
55,0.001719
56,0.001651
57,0.001585
58,0.00155
59,0.00157
60,0.001779
61,0.001991
62,0.002747
63,0.001998
64,0.002814
65,0.00208
66,0.001961
67,0.002135
68,0.001852
69,0.000986
