step,energy_ry
1,-143.88306612
2,-143.8863521
3,-143.88812405
4,-143.88895011
5,-143.88968316
6,-143.89056527
7,-143.89117494
8,-143.89153354
9,-143.89183888
10,-143.89212332
11,-143.89238716
12,-143.89263296
13,-143.8927986
14,-143.89288384
15,-143.89293841
16,-143.89300224
17,-143.89307621
18,-143.89311715
19,-143.89314591
20,-143.89317486
21,-143.89320028
22,-143.89321922
23,-143.89323659
24,-143.89325847
25,-143.89328692
26,-143.89332371
27,-143.89334843
28,-143.89337698
29,-143.89339952
30,-143.89342232
31,-143.89343884
32,-143.8934514
33,-143.89346071
34,-143.89347078
35,-143.8934793
36,-143.89348741
37,-143.89349411
38,-143.89349976
39,-143.89350395
40,-143.89350794
