step,scf_accuracy_ry
1,1.07773375
2,1.31998591
3,1.20223733
4,0.1381914
5,0.34282326
6,0.34750817
7,0.37718634
8,0.38930551
9,1.36823159
10,1.67649762
11,1.30783793
12,1.68643218
13,1.08011822
14,1.00366878
15,0.07142794
16,0.04405638
17,0.0190157
18,0.00221846
19,0.00761111
20,0.00422908
21,0.00411613
22,0.00567714
23,0.00563756
24,0.00380737
25,0.00540424
26,0.00678012
27,0.00443599
28,0.00119763
29,0.00205331
30,0.00363509
31,0.00266133
32,0.0013078
33,0.00066569
34,0.00021847
35,0.00017519
36,0.00024918
37,0.0001775
38,1.756e-05
39,6.667e-05
40,5.37e-05
41,4.116e-05
42,3.831e-05
43,4.123e-05
44,5.032e-05
45,2.65e-05
46,9.24e-06
47,9.65e-06
48,2.42e-06
49,3.25e-06
50,2.66e-06
51,1.42e-06
52,6.1e-07
53,4.2e-07
54,1.7e-07
55,6e-08
1,0.00109198
2,0.0007959
3,6.441e-05
4,0.00030553
5,0.00043395
6,2.533e-05
7,0.00024163
8,0.00012651
9,1.158e-05
10,5.43e-06
11,6.1e-07
12,2.17e-06
13,1.57e-06
14,2.1e-07
15,1.7e-07
16,5e-08
1,0.00037746
2,0.00028375
3,6.046e-05
4,6.361e-05
5,0.00011342
6,3.59e-06
7,3.431e-05
8,3.591e-05
9,3.02e-05
10,2.06e-05
11,2.089e-05
12,2.811e-05
13,2.736e-05
14,2.858e-05
15,2.249e-05
16,1.249e-05
17,1.087e-05
18,6.36e-06
19,3.1e-07
20,2.1e-06
21,2.15e-06
22,1.75e-06
23,1.31e-06
24,1.01e-06
25,9.5e-07
26,6.3e-07
27,2.2e-07
28,6e-08
29,8e-08
30,6e-08
31,6e-08
32,9e-08
33,3.9e-07
34,2.2e-07
35,2.2e-07
36,4e-08
37,2e-08
1,0.00026456
2,0.00019783
3,2.052e-05
4,4.555e-05
5,6.145e-05
6,9.44e-06
7,2.35e-06
8,4.78e-06
9,5.53e-06
10,5.87e-06
11,2.106e-05
12,5.068e-05
13,6.672e-05
14,6.651e-05
15,5.226e-05
16,4.75e-05
17,2.17e-06
18,1.73e-06
19,6.16e-06
20,6.56e-06
21,6e-06
22,4.37e-06
23,4.5e-07
24,1.4e-07
25,3.6e-07
26,2.2e-07
27,8e-08
28,8e-08
29,8e-08
30,3e-08
31,1.7e-07
32,1e-08
1,0.00020076
2,0.00015875
3,1.302e-05
4,2.574e-05
5,3.364e-05
6,1.4e-06
7,1.53e-06
8,1.63e-06
9,1.71e-06
10,1.59e-06
11,2.28e-06
12,7.43e-06
13,1.45e-06
14,2.129e-05
15,1.59e-05
16,8.99e-06
17,2.8e-07
18,1.3e-07
19,9e-08
20,3e-08
21,2e-08
22,8.2e-09
1,0.00042175
2,0.00032775
3,2.975e-05
4,4.961e-05
5,6.989e-05
6,2.089e-05
7,1.135e-05
8,1.346e-05
9,1.286e-05
10,6.08e-06
11,1.49e-05
12,1.441e-05
13,7.92e-06
14,2.19e-06
15,2.53e-06
16,1.46e-06
17,8.4e-07
18,4.6e-07
19,2e-08
20,4.3e-09
1,0.00035671
2,0.00027974
3,1.576e-05
4,4.013e-05
5,6.359e-05
6,2.62e-06
7,2.99e-06
8,3.28e-06
9,2.4e-06
10,7.2e-07
11,8e-07
12,6.6e-07
13,6e-08
14,6e-08
15,3e-08
16,1e-08
17,7e-09
1,0.00021472
2,0.00017018
3,3.919e-05
4,4.38e-05
5,8.818e-05
6,6.1e-06
7,5.806e-05
8,4.341e-05
9,3.338e-05
10,9.73e-06
11,1.42e-06
12,1.79e-06
13,8.4e-07
14,1.4e-07
15,2.7e-07
16,1.8e-07
17,8e-08
18,3e-08
19,1.6e-09
1,0.0001796
2,0.00014447
3,1.023e-05
4,1.259e-05
5,2.456e-05
6,8.1e-07
7,1.52e-06
8,1.74e-06
9,1.21e-06
10,4.4e-07
11,3.6e-07
12,2.1e-07
13,1.4e-07
14,3e-08
15,1e-08
16,7.8e-09
17,6.5e-09
18,3.5e-09
19,3.7e-09
20,6.3e-10
1,0.00011222
2,8.852e-05
3,9.87e-06
4,1.055e-05
5,1.249e-05
6,1.37e-06
7,6.9e-07
8,6.8e-07
9,6.3e-07
10,3.5e-07
11,7.2e-07
12,6.1e-07
13,8e-07
14,2e-07
15,8e-08
16,3e-08
17,2e-08
18,1e-08
19,1e-08
20,6.9e-09
21,9.7e-10
1,0.0001168
2,9.389e-05
3,7.96e-06
4,1.064e-05
5,1.872e-05
6,5.7e-07
7,5.7e-07
8,6.2e-07
9,6.3e-07
10,5.2e-07
11,3.6e-07
12,2.3e-07
13,1.6e-07
14,1.2e-07
15,1.1e-07
16,1.2e-07
17,4e-08
18,8.3e-09
19,6.4e-09
20,4.2e-09
21,1.3e-09
1,0.00014564
2,0.000119
3,5.616e-05
4,1.049e-05
5,1.443e-05
6,1.822e-05
7,3.638e-05
8,0.00011043
9,9.985e-05
10,5.447e-05
11,4.182e-05
12,3.389e-05
13,3.583e-05
14,2.41e-06
15,2.32e-06
16,3.91e-06
17,6.52e-06
18,8.5e-06
19,5.54e-06
20,7.05e-06
21,4.63e-06
22,3.95e-06
23,2.72e-06
24,1.39e-06
25,2.37e-06
26,2.86e-06
27,2.61e-06
28,2.08e-06
29,1.36e-06
