step,energy_ry
1,-7418.39580611
2,-7418.40815466
3,-7418.42516784
4,-7418.43240212
5,-7418.43604692
6,-7418.4397137
7,-7418.44361122
8,-7418.44843555
9,-7418.45465843
10,-7418.46182907
11,-7418.46629101
12,-7418.47133323
13,-7418.47588334
14,-7418.48119183
15,-7418.48720561
16,-7418.49291771
17,-7418.49554419
18,-7418.49709962
19,-7418.49955421
20,-7418.50073626
21,-7418.5012492
22,-7418.50179476
23,-7418.50225273
24,-7418.50258321
25,-7418.5028142
26,-7418.50306126
27,-7418.50334752
28,-7418.50354865
29,-7418.50371483
30,-7418.50392249
31,-7418.50419163
32,-7418.50437148
33,-7418.50451299
34,-7418.50465858
35,-7418.50478641
36,-7418.50491147
37,-7418.50503287
38,-7418.50516286
39,-7418.50529928
40,-7418.50542714
41,-7418.50554159
42,-7418.50565735
43,-7418.50578831
44,-7418.50593165
45,-7418.5060748
46,-7418.50621282
47,-7418.50636503
48,-7418.50654797
49,-7418.5067624
50,-7418.50698951
51,-7418.50721934
52,-7418.50745282
53,-7418.50770013
54,-7418.50794011
55,-7418.50818327
56,-7418.50840138
57,-7418.50864582
58,-7418.50885137
59,-7418.50904818
60,-7418.50919992
61,-7418.50937734
62,-7418.50953537
63,-7418.50969036
64,-7418.50984123
65,-7418.51002161
66,-7418.51022629
67,-7418.51046165
68,-7418.51068305
69,-7418.51100379
70,-7418.5113623
71,-7418.51183177
72,-7418.51252577
