step,total_force_ry_bohr
1,0.128734
2,0.104696
3,0.081418
4,0.075356
5,0.056157
6,0.051485
7,0.056471
8,0.064277
9,0.074896
10,0.091965
11,0.119252
12,0.08485
13,0.070296
14,0.059817
15,0.047985
16,0.045132
17,0.050745
18,0.043286
19,0.029644
20,0.024374
21,0.022653
22,0.020945
23,0.01657
24,0.014875
25,0.01386
26,0.012484
27,0.010713
28,0.010772
29,0.011411
30,0.011504
31,0.01119
32,0.010688
33,0.009693
34,0.009326
35,0.008767
36,0.008415
37,0.008814
38,0.009243
39,0.009424
40,0.008524
41,0.008103
42,0.008602
43,0.009332
44,0.009351
45,0.008998
46,0.009189
47,0.010276
48,0.011419
49,0.011746
50,0.012573
51,0.012416
